#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1895A            None                      None   12:27:17.100   +09:25:01.00 1895-03-16 00:00:00.000    Unclassified    12.5                   None          -99                                  NGC4424          -99
    AT    1907A            None                      None   12:46:02.600   -08:39:12.00 1907-05-09 00:00:00.000    Unclassified    13.5                   None          -99                                  NGC4674          -99
    AT    1915A            None                      None   12:34:11.600   +02:39:02.00 1915-03-20 00:00:00.000    Unclassified    15.5                   None          -99                                  NGC4527          -99
    AT    1926A            None                      None   12:21:54.100   +04:29:37.00 1926-05-09 00:00:00.000    Unclassified    14.0                   None          -99                                  NGC4303          -99
    AT    1936A            None                      None   12:19:56.000   +05:21:08.00 1936-01-02 00:00:00.000    Unclassified    14.4                   None          -99                                  NGC4273          -99
    SN    1939A            None                      None   12:42:48.700   +02:41:36.00 1939-01-17 00:00:00.000            SNIa    11.9                   None          -99                                  NGC4636          -99
    #AT    1946B            None                      None   12:42:32.900   -00:04:56.00                   None    Unclassified    15.7                   None          -99                                  NGC4632          -99
    AT    1948A            None                      None   12:49:02.200   -08:39:11.00 1948-03-05 00:00:00.000    Unclassified    17.0                   None          -99                                  NGC4699          -99
    AT    1952C            None                      None   13:00:10.300   -03:21:19.00 1952-02-01 00:00:00.000    Unclassified    18.7                   None          -99                                    Anon.          -99
    AT    1952E            None                      None   13:09:47.500   -03:29:08.00 1952-04-19 00:00:00.000    Unclassified    19.8                   None          -99                                    Anon.          -99
    AT   1954aa            None                      None   12:08:49.700   -09:02:18.00 1954-04-02 00:00:00.000    Unclassified    19.9                   None          -99                                  NGC4129          -99
    AT   1954ab            None                      None   11:58:12.100   -05:55:36.00 1954-04-02 00:00:00.000    Unclassified    17.5                   None          -99                                    Anon.          -99
    AT    1954H            None                      None   13:10:32.200   -07:39:14.00 1954-05-30 00:00:00.000    Unclassified    17.4                   None          -99                              MCG-1-34-10          -99
    AT    1955F            None                      None   12:03:46.700   +01:42:35.00 1955-04-20 00:00:00.000    Unclassified    19.5                   None          -99                                CGCG13-52          -99
    AT    1956B            None                      None   12:54:33.100   -12:34:36.00 1956-04-08 00:00:00.000    Unclassified    18.6                   None          -99                                  NGC4782          -99
    AT    1956D            None                      None   13:07:49.800   -00:51:12.00 1956-02-11 00:00:00.000    Unclassified    19.2                   None          -99                                    IC850          -99
    AT    1956F            None                      None   13:23:00.900   +06:48:20.00 1956-03-10 00:00:00.000    Unclassified    19.6                   None          -99                                    Anon.          -99
    AT    1956G            None                      None   13:17:08.100   +02:20:17.00 1956-03-10 00:00:00.000    Unclassified    19.3                   None          -99                                  FGC1590          -99
    AT    1956H            None                      None   13:20:44.600   +02:16:28.00 1956-02-11 00:00:00.000    Unclassified    19.3                   None          -99                                  FGC1600          -99
    AT    1956I            None                      None   13:17:46.000   -01:33:49.00 1956-04-09 00:00:00.000    Unclassified    20.2                   None          -99                                    Anon.          -99
    AT    1956J            None                      None   13:10:46.600   +00:01:58.00 1956-04-09 00:00:00.000    Unclassified    19.8                   None          -99                                CGCG16-16          -99
    AT    1956K            None                      None   13:13:46.100   -03:35:54.00 1956-02-11 00:00:00.000    Unclassified    19.6                   None          -99                                CGCG16-23          -99
    SN    1959C            None                      None   13:11:23.810   +03:24:37.69 1959-06-28 00:00:00.000            SNIa    13.6                   None          -99                                  UGC8263          -99
    AT    1960B            None                      None   12:34:44.011   +09:00:09.61 1960-02-20 00:00:00.000    Unclassified    16.0                   None          -99                                    Anon.          -99
    SN    1960F            None                      None   12:31:42.050   +03:56:47.80 1960-04-17 00:00:00.000            SNIa    11.6                   None          -99                                  NGC4496          -99
    SN    1961I            None                      None   12:22:00.439   +04:28:13.30 1961-06-03 00:00:00.000            SNII    13.0                   None          -99                                  NGC4303          -99
    AT    1964D            None                      None   13:00:39.500   -14:40:01.00 1964-02-13 00:00:00.000    Unclassified    16.5                   None          -99                                  NGC4887          -99
    #SN    1964F            None                      None   12:21:53.000   +04:28:27.00                   None            SNII    14.0                   None          -99                                  NGC4303          -99
    AT    1965A            None                      None   12:26:20.700   +09:01:22.00 1965-01-01 00:00:00.000    Unclassified    16.0                   None          -99                                  NGC4410          -99
    AT    1965B            None                      None   12:50:57.300   -14:19:41.00 1965-01-08 00:00:00.000    Unclassified    16.0                   None          -99                                  NGC4727          -99
    AT    1965H            None                      None   12:45:07.100   -00:28:05.00 1965-05-23 00:00:00.000    Unclassified    14.0                   None          -99                                  NGC4666          -99
    AT    1965I            None                      None   12:52:15.400   -01:10:52.00 1965-06-18 00:00:00.000    Unclassified    13.5                   None          -99                                  NGC4753          -99
    AT    1966B            None                      None   12:47:44.800   +04:19:36.00 1966-02-12 00:00:00.000    Unclassified    15.0                   None          -99                                  NGC4688          -99
    AT    1966F            None                      None   12:28:47.000   +06:30:31.00 1966-07-18 00:00:00.000    Unclassified    17.5                   None          -99                                  NGC4453          -99
    AT   1968aa            None                      None   13:07:52.400   -05:01:24.00 1968-04-23 00:00:00.000    Unclassified    15.0                   None          -99                                  NGC4975          -99
    SN    1968I            None                      None   13:08:49.300   -06:46:40.00 1968-04-23 00:00:00.000            SNIa    13.5                   None          -99                                  NGC4981          -99
