#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1950H            None                      None   15:07:28.500   +19:35:27.00 1950-03-17 00:00:00.000    Unclassified    18.1                   None          -99                                  NGC5857          -99
    AT    1950I            None                      None   15:08:15.900   +19:12:33.00 1950-04-20 00:00:00.000    Unclassified    20.2                   None          -99                                   IC1096          -99
    AT    1950J            None                      None   15:17:27.100   +19:46:07.00 1950-04-20 00:00:00.000    Unclassified    20.3                   None          -99                                    Anon.          -99
    AT    1950K            None                      None   15:21:47.100   +17:26:21.00 1950-04-20 00:00:00.000    Unclassified    20.0                   None          -99                                    Anon.          -99
    AT    1950L            None                      None   15:42:10.900   +21:57:21.00 1950-05-16 00:00:00.000    Unclassified    19.9                   None          -99                                    Anon.          -99
    AT    1953B            None                      None   16:20:56.300   +40:06:51.00 1953-05-18 00:00:00.000    Unclassified    17.5                   None          -99                                 UGC10349          -99
    AT    1955M            None                      None   15:07:25.800   +19:36:14.00 1955-05-14 00:00:00.000    Unclassified    14.5                   None          -99                                  NGC5857          -99
    AT    1955S            None                      None   15:36:40.610   +43:32:38.00 1955-04-01 00:00:00.000    Unclassified    17.5                   None          -99                                   IC4564          -99
    AT    1958A            None                      None   16:00:50.191   +19:42:37.01 1958-08-08 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT    1961J            None                      None   16:11:47.561   +29:34:21.22 1961-06-06 00:00:00.000    Unclassified    16.0                   None          -99                                    Anon.          -99
    AT    1962B            None                      None   15:22:45.290   +29:46:08.11 1962-01-06 00:00:00.000    Unclassified    17.0                   None          -99                                  UGC9831          -99
    AT    1962G            None                      None   15:28:06.581   +29:00:36.11 1962-05-01 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT    1962N            None                      None   15:21:11.330   +26:19:56.32 1962-12-03 00:00:00.000    Unclassified    17.0                   None          -99                                    Anon.          -99
    AT    1963A            None                      None   15:26:60.000   +26:27:01.51 1963-01-22 00:00:00.000    Unclassified    18.1                   None          -99                                    Anon.          -99
    AT    1963F            None                      None   15:22:25.850   +27:49:28.31 1963-03-25 00:00:00.000    Unclassified    17.6                   None          -99                                    Anon.          -99
    AT    1964G            None                      None   16:23:38.189   +39:12:23.62 1964-06-02 00:00:00.000    Unclassified    16.0                   None          -99                                    Anon.          -99
    AT    1964I            None                      None   16:23:07.039   +41:14:11.80 1964-09-29 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    AT    1966C            None                      None   16:29:11.200   +40:59:34.00 1966-01-21 00:00:00.000    Unclassified    16.8                   None          -99                                   GIN578          -99
    AT    1967I            None                      None   15:28:04.700   +28:38:46.00 1967-06-30 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    AT    1968T            None                      None   16:26:53.200   +41:15:04.00 1968-10-17 00:00:00.000    Unclassified    18.0                   None          -99                              MCG+7-34-35          -99
    AT    1969I            None                      None   15:57:49.400   +19:28:36.00 1969-06-17 00:00:00.000    Unclassified    17.0                   None          -99                                    Anon.          -99
    AT    1971E            None                      None   15:25:14.500   +26:22:22.00 1971-03-22 00:00:00.000    Unclassified    17.5                   None          -99                                    Anon.          -99
    AT    1972A            None                      None   15:14:43.500   +27:38:56.00 1972-01-20 00:00:00.000    Unclassified    17.0                   None          -99                                    Anon.          -99
    AT    1975K            None                      None   16:36:31.300   +39:02:08.00 1975-08-09 00:00:00.000    Unclassified    17.8                   None          -99                                  NGC6195          -99
    #AT   1982aa            None                      None   16:05:12.790   +20:32:38.29                   None    Unclassified     0.0                   None          -99                                  NGC6052          -99
    AT   1983ab            None                      None   16:22:34.000   +36:45:25.00 1983-08-27 00:00:00.000    Unclassified    17.1                   None          -99                              KUG1620+368          -99
    SN    1983T            None                      None   16:36:54.200   +36:24:56.00 1983-09-10 00:00:00.000             SNI    16.0                   None          -99                                 UGC10473          -99
    SN    1988Q            None                      None   16:33:20.659   +34:48:20.92 1988-07-05 00:00:00.000            SNII    18.0                   None          -99                                    Anon.          -99
    AT    1990L            None                      None   15:36:24.600   +22:30:07.00 1990-05-18 00:00:00.000    Unclassified    19.0                   None          -99                                  UGC9927          -99
    SN   1991aj            None                      None   16:29:44.890   +41:46:42.89 1991-07-03 00:00:00.000            SNIa    18.0                   None          -99                            MCG+07-34-084          -99
    SN    1991R            None                      None   15:54:53.530   +19:00:43.88 1991-04-09 00:00:00.000          SNIb/c    18.0                   None          -99                                    Anon.          -99
    AT    1991V            None                      None   14:47:48.100   +31:46:19.00 1991-04-17 00:00:00.000    Unclassified    18.5                   None          -99                                   IC4508          -99
    SN   1992ap            None                      None   16:30:30.000   +41:28:60.00 1992-07-29 00:00:00.000            SNIa    18.0                   None          -99                                 UGC10430          -99
    SN   1992bi            None                      None   16:10:12.799   +39:47:12.59 1992-04-21 00:00:00.000            SNIa    22.0                   None          -99                                    Anon.          -99
    #AT    1992X            None                      None   14:24:15.100   +35:08:27.00                   None    Unclassified     0.0                   None          -99                              MCG+6-32-24          -99
    AT   1994ao            None                      None   16:04:23.299   +43:03:56.02 1994-02-25 00:00:00.000    Unclassified    28.1                   None          -99                                    Anon.          -99
    AT   1995be            None                      None   15:58:14.299   +19:46:06.49 1995-07-18 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT   1995bf            None                      None   16:04:20.400   +43:04:44.00 1994-02-25 00:00:00.000    Unclassified    26.2                   None          -99                                    Anon.          -99
    SN   1996ab            None                      None   15:21:08.350   +27:55:36.80 1996-05-12 00:00:00.000            SNIa    18.5                   None          -99                                    Anon.          -99
    AT   1996ad            None                      None   15:59:05.909   +19:48:08.10 1996-05-09 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    SN   1997cq            None                      None   16:29:50.861   +39:45:20.30 1997-06-02 00:00:00.000           SNIIn    19.2                   None          -99                                    Anon.          -99
    SN   1997dd            None                      None   16:05:46.320   +21:29:14.32 1997-08-20 00:00:00.000           SNIIb    16.4                   None          -99                                  NGC6060          -99
    AT   1998cr            None                      None   16:23:17.249   +37:12:47.48 1998-06-28 00:00:00.000    Unclassified    17.5                   None          -99                                    Anon.          -99
    SN   1998cs            None                      None   16:30:39.221   +41:12:54.40 1998-06-29 00:00:00.000            SNIa    17.5                   None          -99                                 UGC10432          -99
    SN   1998ct            None                      None   15:51:11.669   +21:56:35.99 1998-06-30 00:00:00.000           SNIIn    16.1                   None          -99                                 UGC10062          -99
    AT   1998fe            None                      None   15:59:12.840   +20:45:38.99 1998-07-19 00:00:00.000    Unclassified    18.0                   None          -99                                  NGC6027          -99
    SN   1999cb            None                      None   16:25:48.410   +40:20:32.39 1999-04-04 00:00:00.000            SNIa    16.1                   None          -99                                   Mkn881          -99
    SN   1999cc            None                      None   16:02:42.031   +37:21:34.42 1999-05-08 00:00:00.000            SNIa    16.3                   None          -99                                  NGC6038          -99
    SN   1999ci            None                      None   14:52:12.701   +27:54:22.21 1999-05-15 00:00:00.000            SNIa    19.3                   None          -99                                    Anon.          -99
    AT   1999dm            None                      None   15:22:28.901   +27:42:58.00 1999-06-18 00:00:00.000    Unclassified    18.8                   None          -99                             MCG+05-36-22          -99
