#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1937B            None                      None   22:10:35.600   -22:39:56.00 1937-08-26 00:00:00.000    Unclassified    15.3                   None          -99                               ESO532-G25          -99
    AT    1978I            None                      None   21:41:27.800   -43:11:19.00 1978-07-25 00:00:00.000    Unclassified    21.4                   None          -99                              MCG-05-3-26          -99
    AT    1983M            None                      None   22:56:48.050   -36:45:41.62 1983-06-09 00:00:00.000    Unclassified    16.0                   None          -99                               ESO406-G27          -99
    AT    1983Z            None                      None   22:56:34.900   -37:02:31.00 1983-09-03 00:00:00.000    Unclassified    15.5                   None          -99                                  NGC7418          -99
    SN    1984N            None                      None   22:02:44.741   -20:47:52.80 1984-07-20 00:00:00.000             SNI    14.0                   None          -99                                  NGC7184          -99
    SN    1987J            None                      None   22:10:22.200   -18:52:21.00 1987-07-25 00:00:00.000            SNII    17.0                   None          -99                                    Anon.          -99
    SN   1990ab            None                      None   21:54:04.001   -40:04:16.10 1990-09-20 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN   1991ah            None                      None   22:10:06.000   -46:19:00.00 1991-06-09 00:00:00.000            SNII    18.5                   None          -99                                    Anon.          -99
    AT   1991be            None                      None   21:33:14.381   -42:12:45.68 1991-11-07 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    AT   1992aq            None                      None   23:04:34.759   -37:20:42.11 1992-07-26 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT   1992at            None                      None   21:27:09.199   -36:59:58.42 1992-08-04 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    SN    1993L            None                      None   22:57:52.870   -35:51:27.00 1993-04-30 00:00:00.000            SNIa    14.0                   None          -99                                   IC5270          -99
    SN    1993S            None                      None   22:49:33.400   -40:34:40.00 1993-05-26 00:00:00.000            SNII    17.5                   None          -99                                    Anon.          -99
    SN   1994ab            None                      None   21:16:56.750   -28:19:51.38 1994-09-17 00:00:00.000            SNIa    17.0                   None          -99                              MCG-05-50-8          -99
    AT   1996ag            None                      None   21:46:50.470   -43:41:50.39 1996-06-12 00:00:00.000    Unclassified    20.5                   None          -99                                    Anon.          -99
    SN   1996am            None                      None   21:46:07.481   -44:00:12.71 1996-07-12 00:00:00.000            SNIa    19.0                   None          -99                                    Anon.          -99
    SN   1997cr            None                      None   21:05:48.209   -25:13:29.78 1997-06-07 00:00:00.000            SNII    20.4                   None          -99                                    Anon.          -99
    SN   1998cw            None                      None   22:56:19.670   -35:09:59.90 1998-06-24 00:00:00.000            SNIa    17.5                   None          -99                                    Anon.          -99
    AT   1998db            None                      None   22:55:54.641   -39:26:29.80 1998-07-01 00:00:00.000    Unclassified    19.4                   None          -99                                    Anon.          -99
    AT   1998dc            None                      None   22:20:16.099   -44:33:56.09 1998-07-05 00:00:00.000    Unclassified    19.5                   None          -99                                    Anon.          -99
    AT   1998dp            None                      None   21:58:28.121   -19:58:05.92 1998-08-01 00:00:00.000    Unclassified    20.3                   None          -99                                    Anon.          -99
    SN   1999ee            None                      None   22:16:10.001   -36:50:39.70 1999-10-07 00:00:00.000            SNIa    17.5                   None          -99                                   IC5179          -99
    SN   1999ex            None                      None   22:16:07.270   -36:50:53.70 1999-11-09 00:00:00.000            SNIc    18.5                   None          -99                                   IC5179          -99
    SN   2001df            None                      None   21:39:18.151   -25:29:35.99 2001-06-25 00:00:00.000            SNII    18.0                   None          -99                              MCG-04-51-5          -99
    SN   2001gf            None                      None   22:04:21.269   -18:21:56.81 2001-11-11 00:00:00.000            SNIa    20.7                   None          -99                                    Anon.          -99
    SN   2003gf            None                      None   22:13:40.939   -21:44:03.30 2003-06-24 00:00:00.000            SNIc    14.5                   None          -99                             MCG-04-52-26          -99
    SN   2003gj            None                      None   21:07:19.181   -25:29:23.60 2003-06-30 00:00:00.000            SNIa    17.7                   None          -99                                  NGC7017          -99
    AT   2003ha            None                      None   22:14:45.799   -17:44:22.88 2003-06-22 00:00:00.000    Unclassified    22.9                   None          -99                                    Anon.          -99
    AT   2003hb            None                      None   22:16:56.309   -17:57:37.69 2003-06-22 00:00:00.000    Unclassified    21.8                   None          -99                                    Anon.          -99
    AT   2004cy            None                      None   21:34:25.670   -33:23:13.70 2004-04-05 00:00:00.000    Unclassified    15.6                   None          -99                                ESO403-G9          -99
    SN   2004db            None                      None   22:47:55.879   -22:19:40.51 2004-06-28 00:00:00.000            SNIa    17.8                   None          -99                                  NGC7377          -99
    SN   2004dm            None                      None   22:43:21.360   -40:19:46.70 2004-07-14 00:00:00.000            SNIb    21.6                   None          -99                                    Anon.          -99
    SN   2004eq            None                      None   21:57:09.461   -34:34:51.31 2004-07-30 00:00:00.000            SNIa    16.8                   None          -99                               ESO404-G12          -99
    SN   2005cw            None                      None   22:16:39.610   -21:29:28.72 2005-07-11 00:00:00.000            SNII    18.5                   None          -99                                   IC1439          -99
    SN   2005dc            None                      None   21:42:22.661   -44:47:21.19 2005-07-26 00:00:00.000            SNIa    15.7                   None          -99                                  NGC7107          -99
    SN   2005di            None                      None   22:25:32.839   -24:14:20.11 2005-08-12 00:00:00.000            SNIa    18.6                   None          -99                             MCG-04-52-46          -99
    SN   2005dw            None                      None   22:13:31.829   -27:33:19.58 2005-08-30 00:00:00.000            SNII    16.7                   None          -99                             MCG-05-52-49          -99
    SN   2005kg            None                      None   21:11:39.149   -23:10:19.99 2005-11-17 00:00:00.000            SNIa    17.0                   None          -99                              MCG-04-50-7          -99
    SN   2005mu            None                      None   21:35:52.500   -26:27:03.49 2005-05-19 00:00:00.000            SNIa    17.4                   None          -99                                    Anon.          -99
    SN   2006de            None                      None   21:35:33.329   -19:01:46.49 2006-06-02 00:00:00.000            SNII    17.2                   None          -99                              MCG-03-55-3          -99
    SN   2006ds            None                      None   22:55:18.319   -33:55:17.51 2006-07-18 00:00:00.000            SNII    16.1                   None          -99                                    Anon.          -99
    SN   2006dx            None                      None   21:10:34.490   -21:34:42.71 2006-07-19 00:00:00.000            SNII    19.2                   None          -99                                    Anon.          -99
    SN   2006im            None                      None   22:07:58.109   -23:05:49.88 2006-09-14 00:00:00.000            SNII    18.3                   None          -99                                    Anon.          -99
    SN   2006in            None                      None   22:44:15.031   -23:27:21.31 2006-09-14 00:00:00.000            SNII    18.9                   None          -99                                    Anon.          -99
    SN   2006qu            None                      None   21:37:01.469   -17:40:09.91 2006-10-19 00:00:00.000            SNIa    18.9                   None          -99                                    Anon.          -99
