#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1958B            None                      None   02:37:06.010   +01:19:28.70 1958-12-05 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    AT    1959F            None                      None   02:49:42.799   -00:31:04.01 1959-12-26 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    AT    1960A            None                      None   02:35:26.460   +02:06:42.08 1960-01-20 00:00:00.000    Unclassified    16.0                   None          -99                                    Anon.          -99
    AT    1961A            None                      None   02:44:04.471   +00:46:56.60 1961-01-12 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT    1962K            None                      None   02:46:30.590   -00:14:40.20 1962-09-03 00:00:00.000    Unclassified    18.2                   None          -99                                  NGC1090          -99
    SN    1962L            None                      None   02:43:42.700   +01:23:52.00 1962-11-23 00:00:00.000            SNIc    13.9                   None          -99                                  NGC1073          -99
    AT    1963P            None                      None   02:46:02.100   -07:34:50.48 1963-09-18 00:00:00.000    Unclassified    14.0                   None          -99                                  NGC1084          -99
    AT    1963V            None                      None   02:34:31.330   -06:04:42.82 1963-09-21 00:00:00.000    Unclassified    16.0                   None          -99                                    Anon.          -99
    AT    1971T            None                      None   02:46:32.900   -00:15:04.00 1971-11-23 00:00:00.000    Unclassified    16.0                   None          -99                                  NGC1090          -99
    AT    1976J            None                      None   02:33:02.800   -10:45:51.00 1976-12-15 00:00:00.000    Unclassified    15.1                   None          -99                                   NGC977          -99
    AT    1979G            None                      None   02:58:18.370   -04:49:10.31 1979-12-17 00:00:00.000    Unclassified    16.5                   None          -99                              MCG-01-8-23          -99
    SN    1984L            None                      None   02:35:30.550   -07:09:30.49 1984-08-28 00:00:00.000             SNI    14.0                   None          -99                                   NGC991          -99
    AT    1984P            None                      None   03:20:04.200   +01:21:54.00 1984-09-26 00:00:00.000    Unclassified    18.0                   None          -99                                  UGC2679          -99
    SN    1985S            None                      None   02:27:34.500   -10:10:05.00 1985-09-19 00:00:00.000            SNII    12.8                   None          -99                             MCG-02-07-10          -99
