#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1937E            None                      None   03:54:37.600   -20:29:17.00 1937-11-26 00:00:00.000    Unclassified    15.0                   None          -99                                  NGC1482          -99
    #AT    1957C            None                      None   03:33:32.100   -36:07:02.00                   None    Unclassified    16.5                   None          -99                                  NGC1365          -99
    AT    1959A            None                      None   03:31:10.300   -33:36:34.00 1959-01-06 00:00:00.000    Unclassified    16.0                   None          -99                                  NGC1350          -99
    AT    1965J            None                      None   03:21:04.579   -37:06:14.69 1965-08-31 00:00:00.000    Unclassified    18.0                   None          -99                                  NGC1310          -99
    AT    1969A            None                      None   03:36:45.000   -36:15:22.00 1969-01-08 00:00:00.000    Unclassified    17.0                   None          -99                                  NGC1392          -99
    AT    1975S            None                      None   03:24:30.100   -21:31:16.00 1975-12-30 00:00:00.000    Unclassified    14.6                   None          -99                                  NGC1325          -99
    AT    1978C            None                      None   03:42:11.700   -27:51:49.00 1978-08-14 00:00:00.000    Unclassified    18.5                   None          -99                                ESO419-G3          -99
    AT    1979F            None                      None   02:39:47.400   -33:26:08.00 1979-08-19 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    SN    1980N            None                      None   03:23:00.300   -37:12:50.00 1980-12-07 00:00:00.000            SNIa    12.5                   None          -99                                  NGC1316          -99
    AT    1980O            None                      None   03:13:27.000   -25:44:31.00 1980-10-30 00:00:00.000    Unclassified    13.0                   None          -99                                  NGC1255          -99
    AT    1981A            None                      None   04:12:10.900   -32:52:13.00 1981-02-24 00:00:00.000    Unclassified    13.5                   None          -99                                  NGC1532          -99
    AT    1981D            None                      None   03:22:38.400   -37:13:58.00 1981-03-01 00:00:00.000    Unclassified    12.7                   None          -99                                  NGC1316          -99
    AT    1981I            None                      None   02:57:19.500   -35:33:07.00 1981-08-10 00:00:00.000    Unclassified    15.0                   None          -99                               ESO356-G20          -99
    AT    1982E            None                      None   03:26:39.600   -21:17:13.00 1982-03-29 00:00:00.000    Unclassified    14.0                   None          -99                                  NGC1332          -99
    SN    1982R            None                      None   03:02:39.511   -22:51:01.40 1982-10-24 00:00:00.000             SNI    14.4                   None          -99                                  NGC1187          -99
    SN    1983V            None                      None   03:33:31.661   -36:08:54.89 1983-11-25 00:00:00.000            SNII    13.5                   None          -99                                  NGC1365          -99
    SN   1990ac            None                      None   03:53:09.259   -29:44:37.90 1990-09-23 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    AT    1990Y            None                      None   03:37:22.639   -33:02:40.09 1990-08-22 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    SN    1992A            None                      None   03:36:27.430   -34:57:31.50 1992-01-11 00:00:00.000            SNIa    12.8                   None          -99                                  NGC1380          -99
    SN   1992bd            None                      None   02:46:18.900   -30:16:30.00 1992-10-12 00:00:00.000            SNII    15.0                   None          -99                                  NGC1097          -99
    SN   1992bp            None                      None   03:36:37.949   -18:21:13.72 1992-12-20 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN   1992bs            None                      None   03:29:27.199   -37:16:18.91 1992-12-28 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN   1994af            None                      None   03:05:21.250   -12:11:19.21 1994-11-27 00:00:00.000            SNII    18.0                   None          -99                                    Anon.          -99
    SN   1994ah            None                      None   02:56:37.750   -33:54:43.60 1994-10-13 00:00:00.000            SNIa    18.0                   None          -99                               ESO356-G19          -99
    SN    1996N            None                      None   03:38:55.310   -26:20:04.09 1996-03-12 00:00:00.000          SNIb/c    16.0                   None          -99                                  NGC1398          -99
    AT   1997df            None                      None   04:09:13.800   -30:42:23.29 1997-08-15 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT    1997U            None                      None   03:10:46.250   -12:16:04.51 1997-01-02 00:00:00.000    Unclassified    21.5                   None          -99                                    Anon.          -99
    AT    1997V            None                      None   03:11:43.819   -12:02:11.00 1997-01-08 00:00:00.000    Unclassified    21.0                   None          -99                                    Anon.          -99
    SN   1998ez            None                      None   03:57:32.930   -27:12:13.61 1998-12-08 00:00:00.000            SNII    20.0                   None          -99                                    Anon.          -99
    SN   1999eu            None                      None   02:46:20.789   -30:19:06.10 1999-11-05 00:00:00.000        SNII-pec    17.3                   None          -99                                  NGC1097          -99
    SN   1999gt            None                      None   03:32:10.279   -28:06:15.98 1999-12-29 00:00:00.000            SNIa    22.1                   None          -99                                    Anon.          -99
    SN   1999gu            None                      None   03:33:00.149   -27:51:40.10 1999-12-29 00:00:00.000            SNII    22.2                   None          -99                                    Anon.          -99
    SN   2000dp            None                      None   02:52:44.410   -14:31:54.70 2000-10-02 00:00:00.000            SNIa    16.8                   None          -99                                  NGC1139          -99
    SN   2000ex            None                      None   03:42:11.710   -27:51:47.99 2000-11-26 00:00:00.000            SNII    17.6                   None          -99                               MCG-5-9-22          -99
    SN   2001du            None                      None   03:33:29.100   -36:08:31.20 2001-08-24 00:00:00.000           SNIIP    14.0                   None          -99                                  NGC1365          -99
    SN   2001ip            None                      None   03:31:13.030   -27:50:55.50 2001-12-08 00:00:00.000            SNIa    23.8                   None          -99                                    Anon.          -99
    SN   2002fi            None                      None   02:33:54.401   -21:02:29.40 2002-09-13 00:00:00.000            SNIa    18.5                   None          -99                              MCG-04-7-10          -99
