#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT  2022lkj          ALeRCE              ZTF22aamcecg   17:13:17.332   +17:24:48.13 2022-05-26 09:28:53.996    Unclassified 21.0235                  r_ZTF          -99                                     None          -99  None
    AT  2022lkk          ALeRCE              ZTF22aambwfq   17:30:43.451   +37:09:58.41 2022-05-28 07:49:22.996    Unclassified 20.1501                  r_ZTF          -99                  SDSSJ173043.51+370956.3          -99  None
    AT  2022lkz          ALeRCE              ZTF22aalwoky   17:26:23.221   +32:30:31.99 2022-05-26 08:27:21.001    Unclassified 20.3719                  g_ZTF          -99                  SDSSJ172623.19+323032.1          -99  None
    AT  2022lmo         ANTARES              ZTF22aalwovy   17:37:39.950   +30:17:47.02 2022-06-01 08:20:49.920    Unclassified 20.3227                  r_ZTF          -99                                     None          -99  None
    AT  2022lne             ZTF              ZTF22aaljguk   18:24:28.730   +33:49:23.82 2022-05-26 08:54:14.400    Unclassified   20.32                  g_ZTF          -99                                     None          -99  None
    SN  2022lnq             ZTF              ZTF22aamdxkj   18:08:48.410   +30:06:35.42 2022-06-01 08:21:07.200            SNIa   19.81                  g_ZTF        0.024                                     None          -99  None
    AT  2022lnr             ZTF              ZTF18admekjg   18:37:30.094   +23:15:36.52 2022-05-24 08:23:59.000    Unclassified    18.6                  r_ZTF          -99                                     None          -99  None
    AT  2022lob          ALeRCE              ZTF22aamgihf   19:07:03.920   +30:02:24.07 2022-06-01 09:17:07.996    Unclassified 19.5455                  g_ZTF          -99                 WISEAJ190703.92+300224.1          -99  None
    SN  2022lod          ALeRCE              ZTF22aamfwtc   18:21:41.600   +24:53:20.00 2022-06-01 08:23:33.000            SNIa 18.8468                  g_ZTF        0.062                 WISEAJ182141.64+245322.7          -99  None
    AT  2022loj          ALeRCE              ZTF22aamchxo   17:15:30.435   +35:10:47.54 2022-05-31 09:08:07.002    Unclassified 20.7063                  g_ZTF          -99                 WISEAJ171530.46+351047.3          -99  None
    AT  2022lot          ALeRCE              ZTF22aalwovv   17:37:07.723   +29:53:59.49 2022-06-01 08:20:49.998    Unclassified 20.4178                  g_ZTF          -99                  SDSSJ173707.72+295359.5          -99  None
    AT  2022lou          ALeRCE              ZTF22aalwogz   17:10:53.291   +30:27:09.31 2022-05-26 08:27:21.001    Unclassified 20.4696                  g_ZTF          -99                  SDSSJ171053.27+302709.4          -99  None
    AT  2022low          ALeRCE              ZTF22aalwist   17:05:44.980   +21:25:30.10 2022-05-28 08:36:34.004    Unclassified 20.2454                  g_ZTF          -99                 WISEAJ170544.98+212530.4     0.129239  None
    AT  2022lqm      Pan-STARRS                   PS22eus   17:46:57.565   +14:41:49.83 2022-06-01 09:49:46.848    Unclassified   20.26                   w_P1          -99                                     None          -99  None
    AT  2022lqn      Pan-STARRS                   PS22eut   17:32:40.868   +13:20:04.75 2022-06-01 09:50:42.144    Unclassified   20.03                   w_P1          -99                                     None          -99  None
    AT  2022lqw             ZTF              ZTF22aamcabe   17:46:38.592   +38:00:45.68 2022-05-24 09:51:50.400    Unclassified   21.14                  g_ZTF          -99                                     None          -99  None
    AT  2022lth      Pan-STARRS                   PS22exd   17:54:39.236   +16:10:32.17 2022-06-01 09:48:52.416    Unclassified   21.88                   w_P1          -99                                     None          -99  None
    AT  2022ltm      Pan-STARRS                   PS22exh   17:26:50.047   +17:19:21.41 2022-06-03 08:55:52.032    Unclassified   19.78                   w_P1          -99                                     None          -99  None
    AT  2022ltn      Pan-STARRS                   PS22exj   17:15:32.199   +18:45:17.42 2022-06-03 08:36:27.360    Unclassified    20.0                   w_P1          -99                                     None          -99  None
    AT  2022lto      Pan-STARRS                   PS22exl   17:48:24.525   +22:30:26.05 2022-06-03 08:43:48.864    Unclassified   20.73                   w_P1          -99                                     None          -99  None
    AT  2022ltp      Pan-STARRS                   PS22exn   17:16:00.138   +23:10:16.91 2022-06-03 08:38:17.952    Unclassified   20.41                   w_P1          -99                                     None          -99  None
    AT  2022ltr      Pan-STARRS                   PS22exu   17:13:21.655   +22:52:30.06 2022-06-03 08:38:17.952    Unclassified   21.07                   w_P1          -99                                     None          -99  None
    AT  2022lts      Pan-STARRS                   PS22exv   17:17:16.710   +21:49:15.81 2022-06-03 08:38:17.952    Unclassified   20.79                   w_P1          -99                                     None          -99  None
    AT  2022lub          ALeRCE              ZTF22aamqbgh   18:13:27.405   +25:33:41.07 2022-05-28 10:30:17.004    Unclassified  20.925                  g_ZTF          -99                 WISEAJ181327.55+253341.5          -99  None
    AT  2022lul          ALeRCE              ZTF22aamltry   17:35:44.784   +29:22:03.90 2022-05-28 10:29:35.998    Unclassified 20.7484                  g_ZTF          -99                  SDSSJ173544.78+292204.7          -99  None
    AT  2022lum          ALeRCE              ZTF22aamjvcj   17:35:40.223   +40:11:22.93 2022-05-31 09:15:57.001    Unclassified 20.3533                  g_ZTF          -99                 WISEAJ173540.21+401123.8          -99  None
    AT  2022lvq         ANTARES              ZTF22aaknucy   18:25:30.806   +30:43:09.73 2022-06-03 08:12:41.760    Unclassified 20.3675                  r_ZTF          -99                                     None          -99  None
    AT  2022lvx             ZTF              ZTF22aamczxp   18:13:54.322   +11:18:11.17 2022-06-01 08:26:52.800    Unclassified   19.62                  g_ZTF          -99                                     None          -99  None
    AT  2022lwx           ATLAS                ATLAS22pyj   18:49:38.472   +36:34:31.65 2022-06-03 10:59:11.328    Unclassified  18.779             cyan_ATLAS          -99                                     None          -99  None
    AT  2022lyf          ALeRCE              ZTF22aambzvw   17:50:41.189   +38:59:55.08 2022-05-31 09:22:48.999    Unclassified 20.7384                  g_ZTF          -99                  SDSSJ175041.18+385955.0          -99  None
    AT  2022lyl          ALeRCE              ZTF18aarvqai   17:12:35.252   +36:11:42.92 2022-06-02 09:46:06.001    Unclassified 20.9915                  g_ZTF          -99                  SDSSJ171235.36+361143.4          -99  None
    SN  2022lzm           ATLAS                ATLAS22qbn   17:25:37.570   +24:21:28.84 2022-05-30 10:11:38.400            SNIa  19.283             cyan_ATLAS        0.068                                     None          -99  None
    AT  2022mal      GaiaAlerts                 Gaia22cfk   17:32:41.540   +30:38:12.84 2022-05-22 02:21:07.200    Unclassified   17.53                 G_Gaia          -99                                     None          -99  None
    AT  2022mbl          ALeRCE              ZTF22aanbbhw   18:36:40.339   +21:44:53.60 2022-06-01 08:24:13.997    Unclassified 20.6911                  g_ZTF          -99                  SDSSJ183640.59+214457.0          -99  None
    AT  2022mbw          ALeRCE              ZTF22aampufw   19:03:46.801   +35:07:19.88 2022-06-01 08:22:12.000    Unclassified 20.5934                  g_ZTF          -99                   2MASXJ19034667+3507207          -99  None
    AT  2022mby      GaiaAlerts                 Gaia22cfm   18:01:43.980   +29:50:55.57 2022-05-22 14:26:52.800    Unclassified    18.8                 G_Gaia          -99                                     None          -99  None
    AT  2022mcm           ATLAS                ATLAS22qff   18:50:23.054   +19:30:55.17 2022-06-05 10:38:14.208    Unclassified  18.146           orange_ATLAS          -99                                     None          -99  None
    AT  2022mem      GaiaAlerts                 Gaia22cgb   19:28:23.460   +26:35:26.05 2022-05-22 20:45:36.000    Unclassified   17.64                 G_Gaia          -99                                     None          -99  None
    AT  2022mgo          ALeRCE              ZTF22aankjwy   18:00:25.293   +27:33:28.74 2022-06-05 10:22:19.004    Unclassified 20.8211                  g_ZTF          -99                                     None          -99  None
    AT  2022mgp          ALeRCE              ZTF22aanjzfb   18:07:25.374   +29:05:58.56 2022-06-05 10:22:19.004    Unclassified 20.6812                  g_ZTF          -99                 WISEAJ180725.36+290556.3          -99  None
    AT  2022mgq          ALeRCE              ZTF22aanjzef   18:33:32.049   +15:49:06.76 2022-06-05 10:24:21.001    Unclassified 20.5892                  g_ZTF          -99                                     None          -99  None
    SN  2022mgr          ALeRCE              ZTF22aanjyae   18:32:37.023   +20:36:09.41 2022-06-07 07:28:29.004           SNIIn  20.317                  r_ZTF        0.068                                     None          -99  None
    AT  2022mho         ANTARES              ZTF22aaknseh   18:15:13.057   +09:58:59.60 2022-06-07 06:43:10.272    Unclassified 20.4833                  g_ZTF          -99                                     None          -99  None
    AT  2022mhp         ANTARES              ZTF22aaluxav   18:31:45.724   +35:05:36.74 2022-06-07 07:56:02.112    Unclassified  20.299                  g_ZTF          -99                                     None          -99  None
    AT  2022mhq         ANTARES              ZTF22aanaajw   18:54:50.799   +39:27:37.83 2022-06-07 09:44:46.176    Unclassified  20.535                  g_ZTF          -99                                     None          -99  None
    AT  2022mhw      Pan-STARRS                   PS22fcd   18:05:31.552   +15:07:54.12 2022-06-08 08:40:50.016    Unclassified   20.19                   w_P1          -99                                     None          -99  None
    AT  2022mkh          ALeRCE              ZTF22aanudmg   18:38:48.629   +33:54:59.50 2022-06-09 09:27:01.002    Unclassified 20.4065                  g_ZTF          -99                 WISEAJ183848.67+335456.8          -99  None
    AT  2022mki          ALeRCE              ZTF22aantzda   18:23:55.349   +34:28:54.49 2022-06-03 07:54:19.996    Unclassified 20.9355                  g_ZTF          -99                 WISEAJ182355.49+342856.0          -99  None
    AT  2022mmb      GaiaAlerts                 Gaia22cit   17:05:07.290   +28:32:30.55 2022-06-01 20:22:33.600    Unclassified   18.41                 G_Gaia          -99                                     None          -99  None
    SN  2022mme           ATLAS                ATLAS22qom   18:33:36.124   +41:29:22.15 2022-06-09 11:04:24.960            SNIa  19.012           orange_ATLAS         0.08                                     None          -99  None
    AT  2022mnv          ALeRCE              ZTF22aannfff   17:46:38.198   +28:11:12.32 2022-06-07 06:44:31.998    Unclassified 20.2797                  r_ZTF          -99                                     None          -99  None
    AT  2022mom      GaiaAlerts                 Gaia22ckd   18:43:01.140   +29:12:13.61 2022-06-07 10:27:50.400    Unclassified   18.55                 G_Gaia          -99                                     None          -99  None
    AT  2022mph      Pan-STARRS                   PS22fhs   17:40:42.278   +14:17:31.74 2022-06-01 09:49:46.848    Unclassified   20.79                   w_P1          -99                                     None          -99  None
    AT  2022mpj      Pan-STARRS                   PS22fhu   17:45:03.189   +14:26:57.28 2022-06-01 09:49:46.848    Unclassified   21.49                   w_P1          -99                                     None          -99  None
    AT  2022mpo      Pan-STARRS                   PS22fhz   18:27:11.686   +30:27:14.49 2022-06-07 09:49:16.608    Unclassified   20.29                   w_P1          -99                                     None          -99  None
    AT  2022mrn      Pan-STARRS                   PS22fjy   17:52:27.963   +12:12:52.43 2022-06-01 09:47:57.984    Unclassified   19.99                   w_P1          -99                                     None          -99  None
    SN  2022msv            SGLF              ZTF22aanuapl   18:19:11.493   +41:01:02.49 2022-06-07 07:54:40.000           SNIIn   20.71                  g_ZTF        0.154                                     None          -99  None
    SN  2022mtp          ALeRCE              ZTF22aaoewrn   17:26:12.485   +27:37:07.38 2022-06-13 07:28:22.999            SNIa 19.8878                  r_ZTF        0.086                  SDSSJ172612.47+273707.2          -99  None
    SN  2022mya          ALeRCE              ZTF22aaolhhl   17:21:08.053   +16:03:32.47 2022-06-18 07:33:23.999            SNIb 18.8674                  r_ZTF         0.03                              CGCG111-024     0.030431  None
    AT  2022myd          ALeRCE              ZTF22aaoldhb   17:08:27.971   +30:21:45.59 2022-06-18 06:29:25.999    Unclassified 20.4391                  g_ZTF          -99                  SDSSJ170827.95+302145.4          -99  None
    SN  2022myi          ALeRCE              ZTF22aaokebo   18:29:19.130   +29:28:44.36 2022-06-13 07:26:20.000            SNII 19.9074                  r_ZTF         0.05                 WISEAJ182918.81+292847.1          -99  None
    SN  2022mzb          ALeRCE              ZTF22aaonqcc   18:21:26.931   +22:06:59.76 2022-06-19 07:26:14.004            SNIa  20.381                  g_ZTF        0.057                  SDSSJ182127.05+220659.0          -99  None
    SN  2022nag            SGLF              ZTF22aaoippk   18:05:00.655   +09:28:47.85 2022-06-17 07:54:04.000            SNIa  18.748                  g_ZTF     0.020954                              CGCG084-015     0.020954  None
    AT  2022nbz          ALeRCE              ZTF22aaolden   17:03:33.054   +33:32:16.96 2022-06-18 06:29:25.999    Unclassified 20.0954                  g_ZTF          -99                        ZwCl1700.5+332251     0.090864  None
    SN  2022nen            Fink              ZTF22aaobnru   17:47:25.380   +12:03:31.25 2022-06-09 08:38:30.998         SLSN-II  20.078                  g_ZTF       0.1165                                     None          -99  None
    SN  2022ngb           ATLAS                ATLAS22res   18:56:51.480   +36:37:07.82 2022-06-21 11:27:52.416           SNIIb  18.878           orange_ATLAS        0.009                                     None          -99  None
    AT  2022nha          ALeRCE              ZTF22aaoqizx   17:09:46.378   +24:56:14.18 2022-06-20 06:36:16.001    Unclassified 20.3792                  g_ZTF          -99                  SDSSJ170946.39+245611.5          -99  None
    AT  2022nhe          ALeRCE              ZTF22aaolelx   18:57:57.054   +30:34:58.34 2022-06-18 06:41:28.000    Unclassified 20.1271                  g_ZTF          -99                 WISEAJ185757.06+303458.5          -99  None
    AT  2022niq          ALeRCE              ZTF22aapbewv   17:39:03.621   +35:30:22.33 2022-06-20 06:38:28.003    Unclassified 20.6691                  g_ZTF          -99                                     None          -99  None
    AT  2022nir          ALeRCE              ZTF22aapbaxd   17:48:07.382   +31:14:00.03 2022-06-18 06:40:07.000    Unclassified 20.4634                  g_ZTF          -99                 WISEAJ174807.51+311400.0          -99  None
    AT  2022njj          ALeRCE              ZTF22aaouiln   17:29:31.637   +27:39:53.40 2022-06-19 07:34:01.004    Unclassified 20.3652                  r_ZTF          -99                  SDSSJ172931.64+273953.4          -99  None
    AT  2022njr          ALeRCE              ZTF22aaolqzi   17:54:40.505   +14:08:14.41 2022-06-17 08:13:10.004    Unclassified 20.0369                  r_ZTF          -99                 WISEAJ175440.51+140814.0          -99  None
    AT  2022njt          ALeRCE              ZTF22aaohrki   17:38:11.121   +23:29:33.31 2022-06-17 07:52:00.002    Unclassified 20.3708                  g_ZTF          -99                                     None          -99  None
    AT  2022njw            SGLF              ZTF22aapbest   18:58:42.600   +29:18:58.95 2022-06-21 08:26:01.000    Unclassified  20.454                  g_ZTF          -99                              LEDA2814151          -99  None
    AT  2022njy      Pan-STARRS                   PS22foi   18:55:29.740   +36:41:48.40 2022-06-19 11:24:39.744    Unclassified   20.44                   i_P1          -99                                     None          -99  None
    AT  2022nlh           ATLAS                ATLAS22rmg   17:24:52.708   +21:49:46.67 2022-06-19 10:45:23.616    Unclassified  18.945           orange_ATLAS          -99                                     None          -99  None
    AT  2022nmg           ATLAS                ATLAS22rmx   18:46:19.332   +33:48:43.03 2022-06-23 11:27:04.896              CV  18.611             cyan_ATLAS          -99                                     None          -99  None
    AT  2022nmt         ANTARES              ZTF22aaoqjnr   18:32:02.397   +37:42:43.58 2022-06-25 07:40:04.800    Unclassified 20.5194                  r_ZTF          -99                                     None          -99  None
    AT  2022nna           ATLAS                ATLAS22rrl   18:09:53.686   +30:43:37.22 2022-06-24 10:36:01.152    Unclassified  19.401             cyan_ATLAS          -99                                     None          -99  None
    AT  2022nnb           ATLAS                ATLAS22rrm   19:10:55.933   +28:58:36.86 2022-06-24 11:33:02.592              CV  18.143             cyan_ATLAS          -99                                     None          -99  None
    AT  2022npz          ALeRCE              ZTF22aapntra   17:46:54.088   +33:45:53.07 2022-06-23 07:12:52.004    Unclassified 20.8342                  g_ZTF          -99                 WISEAJ174654.19+334552.7          -99  None
    AT  2022nqa          ALeRCE              ZTF22aapnsrx   18:32:02.836   +29:37:58.58 2022-06-26 07:25:23.002    Unclassified 20.9537                  g_ZTF          -99                                     None          -99  None
    AT  2022nqb          ALeRCE              ZTF22aapmnbq   18:27:00.242   +31:15:05.91 2022-06-26 07:23:11.000    Unclassified 19.9103                  g_ZTF          -99                 WISEAJ182700.01+311509.1          -99  None
    AT  2022nqq          ALeRCE              ZTF18adlgqmp   18:24:01.076   +16:35:16.98 2022-06-26 07:27:26.001    Unclassified 19.6319                  g_ZTF          -99                                     None          -99  None
    AT  2022nqr          ALeRCE              ZTF18aawsmrt   17:52:00.477   +15:18:27.19 2022-06-26 07:06:33.002    Unclassified 19.4345                  g_ZTF          -99                 WISEAJ175200.61+151827.4          -99  None
    AT  2022nqu      Pan-STARRS                   PS22fqv   17:59:21.335   +15:38:41.01 2022-06-26 07:15:49.824    Unclassified    20.3                   w_P1          -99                                     None          -99  None
    AT  2022nrp          ALeRCE              ZTF22aaprzcy   19:09:16.299   +29:55:53.37 2022-06-22 07:42:30.997    Unclassified  20.707                  g_ZTF          -99                 WISEAJ190917.04+295554.6          -99  None
    AT  2022ntr      Pan-STARRS                   PS22fsu   17:31:50.869   +15:25:58.80 2022-06-26 07:14:00.960    Unclassified   20.74                   w_P1          -99                                     None          -99  None
    AT  2022nun          ALeRCE              ZTF22aapiguo   19:09:51.240   +34:53:09.90 2022-06-22 07:42:30.997    Unclassified 20.6315                  g_ZTF          -99                 WISEAJ190951.22+345309.9          -99  None
    AT  2022nxf           ATLAS                ATLAS22sff   17:08:39.495   +34:25:37.59 2022-06-28 08:58:32.736    Unclassified  19.111             cyan_ATLAS          -99                                     None          -99  None
    AT  2022nzc         ANTARES              ZTF22aaoqgvh   17:17:55.515   +24:43:43.03 2022-06-30 07:22:52.320    Unclassified 20.2926                  r_ZTF          -99                                     None          -99  None
    AT  2022nzh          ALeRCE              ZTF22aaqpbeq   17:59:48.774   +22:57:26.16 2022-06-26 07:26:45.004    Unclassified  20.641                  g_ZTF          -99                  SDSSJ175948.83+225730.9          -99  None
    AT  2022oai         ANTARES              ZTF22aaoleqa   18:21:37.898   +41:08:46.85 2022-07-01 08:29:09.312    Unclassified   20.33                  r_ZTF          -99                                     None          -99  None
    AT  2022oaz          ALeRCE              ZTF22aarcchq   17:21:07.180   +35:28:03.52 2022-06-25 06:34:56.997    Unclassified 20.8864                  g_ZTF          -99                  SDSSJ172107.41+352802.5          -99  None
    AT  2022obz         ANTARES              ZTF22aarmxkf   18:18:01.356   +27:47:48.80 2022-07-02 09:09:30.240    Unclassified 20.4964                  r_ZTF          -99                                     None          -99  None
    AT  2022occ          ALeRCE              ZTF22aarmyca   18:04:04.390   +36:50:30.57 2022-06-26 07:21:47.002    Unclassified 20.8821                  g_ZTF          -99                 WISEAJ180404.29+365030.9          -99  None
    AT  2022ocg          ALeRCE              ZTF22aarmfke   17:53:06.561   +40:16:49.50 2022-06-30 07:10:41.998    Unclassified 20.6183                  r_ZTF          -99                  SDSSJ175306.51+401649.2          -99  None
    AT  2022ocq          ALeRCE              ZTF22aapymep   18:27:18.861   +37:03:39.86 2022-06-28 09:14:06.996    Unclassified 19.0433                  r_ZTF          -99                 WISEAJ182718.92+370340.2          -99  None
    AT  2022oeo          ALeRCE              ZTF22aaqjbsk   19:15:49.180   +32:11:52.36 2022-06-29 08:15:48.997    Unclassified 20.3147                  r_ZTF          -99                 WISEAJ191549.26+321152.6          -99  None
    AT  2022ofb         ANTARES              ZTF22aarmfpg   17:54:06.633   +41:28:05.30 2022-07-04 07:16:33.888    Unclassified 20.3153                  r_ZTF          -99                                     None          -99  None
    AT  2022ogc          ALeRCE              ZTF22aarwbin   18:28:13.242   +32:41:49.01 2022-07-02 08:12:51.998    Unclassified 20.5219                  g_ZTF          -99                 WISEAJ182813.08+324151.7          -99  None
    AT  2022ogd          ALeRCE              ZTF22aarvssw   17:33:40.899   +33:01:44.27 2022-07-04 07:45:19.002    Unclassified 19.7072                  g_ZTF          -99                  SDSSJ173340.85+330144.1          -99  None
    SN  2022ohi            Fink              ZTF22aaqhirm   17:33:45.105   +17:36:24.89 2022-06-29 06:36:02.998            SNIa 20.2633                  g_ZTF        0.087                                     None          -99  None
    AT  2022oix      Pan-STARRS                   PS22fxi   17:46:59.629   +38:36:15.40 2022-07-05 09:09:02.592    Unclassified   20.77                   w_P1          -99                                     None          -99  None
    SN  2022ojj         ANTARES              ZTF22aapmmtu   18:29:31.720   +35:05:24.34 2022-07-06 08:23:00.384            SNIa 19.1289                  r_ZTF        0.084                                     None          -99  None
    SN  2022ojn            XOSS                    XM76MZ   18:03:17.970   +11:01:00.19 2022-07-06 18:03:31.680            SNIa    18.8                 Clear_        0.039                 WISEAJ180317.91+110103.1     0.053267  None
    AT  2022old           ATLAS                ATLAS22sxk   18:08:18.020   +18:32:21.68 2022-07-06 08:18:02.304              CV   18.36           orange_ATLAS          -99                                     None          -99  None
    AT  2022ont          ALeRCE              ZTF22aasalch   17:09:28.722   +33:34:51.58 2022-07-03 07:14:38.000    Unclassified 20.7892                  r_ZTF          -99                  SDSSJ170928.56+333452.0          -99  None
    AT  2022onu          ALeRCE              ZTF22aarscew   19:18:05.868   +33:41:18.82 2022-07-03 09:19:21.000    Unclassified 20.1891                  g_ZTF          -99                 WISEAJ191805.94+334118.8          -99  None
    AT  2022ote            SGLF              ZTF22aasrabo   18:22:03.240   +34:31:47.11 2022-07-06 07:51:23.000    Unclassified  20.517                  g_ZTF          -99                                     None          -99  None
    AT  2022otk      Pan-STARRS                   PS22gbi   18:23:06.384   +33:50:23.40 2022-07-06 08:08:44.160    Unclassified    21.0                   w_P1          -99                                     None          -99  None
    AT  2022ovs          ALeRCE              ZTF22aatonqa   18:31:40.120   +26:32:45.82 2022-07-13 06:22:16.003    Unclassified 19.7444                  r_ZTF          -99                                     None          -99  None
    AT  2022ovt          ALeRCE              ZTF22aatonif   17:37:06.735   +32:06:02.94 2022-07-11 06:46:22.996    Unclassified 20.4124                  g_ZTF          -99                  SDSSJ173706.72+320602.8          -99  None
    AT  2022ovu          ALeRCE              ZTF22aatompb   18:13:41.451   +23:50:57.39 2022-07-11 06:36:08.001    Unclassified 20.5115                  g_ZTF          -99                  SDSSJ181340.82+235048.0          -99  None
    SN  2022oxb           ATLAS                ATLAS22uzj   17:54:07.649   +37:35:35.35 2022-07-16 09:11:33.792            SNIa  18.733           orange_ATLAS         0.07                                     None          -99  None
    AT  2022oxl          ALeRCE              ZTF22aattadv   18:19:24.190   +13:53:52.63 2022-07-16 06:26:11.003    Unclassified   19.77                  r_ZTF          -99                                     None          -99  None
    AT  2022oxn          ALeRCE              ZTF22aatsdyx   17:20:55.233   +29:44:29.39 2022-07-15 07:08:59.001    Unclassified 20.3561                  r_ZTF          -99                  SDSSJ172055.14+294426.4          -99  None
    SN  2022par      GaiaAlerts                 Gaia22cyt   17:03:30.480   +20:50:59.71 2022-07-17 12:48:57.600            SNIa    18.9                 G_Gaia         0.08                                     None          -99  None
    AT  2022pax      Pan-STARRS                   PS22gcz   17:53:42.834   +26:44:56.14 2022-07-06 08:36:30.816    Unclassified   21.87                   w_P1          -99                                     None          -99  None
    SN  2022paz      Pan-STARRS                   PS22gda   18:05:09.009   +32:09:00.91 2022-07-18 07:16:07.104           SNIIn   18.55                   w_P1        0.066                                     None          -99  None
    AT  2022pbs      Pan-STARRS                   PS22gdr   17:01:26.556   +31:23:12.90 2022-07-19 08:09:08.352    Unclassified   20.58                   w_P1          -99                                     None          -99  None
    AT  2022pcq          ALeRCE              ZTF22aatsdnz   17:28:41.250   +35:58:58.16 2022-07-16 05:08:24.003    Unclassified 20.3715                  r_ZTF          -99                  SDSSJ172841.36+355901.2          -99  None
    AT  2022pha           ATLAS                ATLAS22vqk   17:54:23.403   +24:03:31.80 2022-07-22 09:23:32.640    Unclassified  19.168             cyan_ATLAS          -99                                     None          -99  None
    AT  2022phs          ALeRCE              ZTF22aauybzg   18:39:32.411   +27:25:41.26 2022-07-22 07:26:26.998    Unclassified 20.1156                  g_ZTF          -99                 WISEAJ183932.67+272537.3          -99  None
    AT  2022pht          ALeRCE              ZTF22aauxzaj   17:50:58.022   +28:39:10.21 2022-07-22 07:25:00.002    Unclassified 19.6786                  g_ZTF          -99                 WISEAJ175057.94+283905.8          -99  None
    AT  2022phw          ALeRCE              ZTF22aauxkqi   18:01:33.407   +12:17:00.10 2022-07-22 06:04:43.003    Unclassified 19.5567                  r_ZTF          -99                 WISEAJ180133.41+121659.8          -99  None
    AT  2022pic          ALeRCE              ZTF22aauuznh   18:06:11.994   +36:08:58.50 2022-07-22 06:42:11.002    Unclassified 20.2546                  g_ZTF          -99                                     None          -99  None
    AT  2022pif          ALeRCE              ZTF22aautyra   17:37:52.934   +37:52:57.18 2022-07-22 06:44:54.004    Unclassified 20.1895                  g_ZTF          -99                 WISEAJ173753.00+375256.1          -99  None
    AT  2022pig          ALeRCE              ZTF22aautvgp   17:32:39.283   +27:40:36.17 2022-07-22 06:41:29.996    Unclassified 19.7473                  g_ZTF          -99                  SDSSJ173239.27+274036.2          -99  None
    AT  2022piu      GaiaAlerts                 Gaia22daa   17:46:08.440   +21:39:41.22 2022-07-20 12:54:43.200    Unclassified   16.39                 G_Gaia          -99                                     None          -99  None
    AT  2022pjk         ANTARES              ZTF22aatscvi   17:18:22.321   +20:20:58.45 2022-07-23 06:58:59.808    Unclassified 20.0244                  g_ZTF          -99                                     None          -99  None
    SN  2022pom         ANTARES              ZTF22aauxzqe   18:32:13.860   +22:05:11.54 2022-07-26 07:08:55.968            SNIa 19.0903                  g_ZTF        0.076                                     None          -99  None
    AT  2022poq         ANTARES              ZTF22aatziam   18:32:12.014   +22:05:48.78 2022-07-26 06:36:19.008    Unclassified 19.4428                  r_ZTF          -99                                     None          -99  None
    SN  2022pox            XOSS                KATS22O002   18:00:45.849   +31:04:20.24 2022-07-23 18:05:02.000            SNII  17.903                 Clear_         0.03                                     None          -99  None
    AT  2022ppk          ALeRCE              ZTF22aawaczw   17:37:18.668   +37:21:39.02 2022-07-22 06:44:54.004    Unclassified  20.938                  g_ZTF          -99                                     None          -99  None
    AT  2022pqc          ALeRCE              ZTF22aavqpkr   18:03:29.445   +18:25:53.96 2022-07-23 07:24:07.998    Unclassified 21.0299                  g_ZTF          -99                 WISEAJ180329.40+182553.6          -99  None
    AT  2022pqo          ALeRCE              ZTF22aauxznw   19:08:35.196   +33:10:06.09 2022-07-22 07:25:44.999    Unclassified 19.8397                  g_ZTF          -99                 WISEAJ190835.33+331007.3          -99  None
    AT  2022psk          ALeRCE              ZTF22aawvlku   17:46:23.592   +17:39:15.94 2022-07-27 06:07:29.997    Unclassified 20.4364                  g_ZTF          -99                                     None          -99  None
    AT  2022psy          ALeRCE              ZTF22aawakbw   18:18:44.876   +39:09:24.30 2022-07-25 06:45:36.996    Unclassified  20.372                  r_ZTF          -99                 WISEAJ181844.84+390922.8          -99  None
    AT  2022ptw      Pan-STARRS                   PS22gkm   18:02:28.243   +11:10:20.68 2022-07-25 08:44:19.968    Unclassified   20.46                   w_P1          -99                                     None          -99  None
    AT  2022pup         ANTARES              ZTF22aauifco   17:41:14.886   +32:18:43.04 2022-07-28 07:24:57.600    Unclassified 19.3788                  g_ZTF          -99                                     None          -99  None
    AT  2022pxn          MASTER MASTER-OT-J184452.58+113328.2   18:44:52.580   +11:33:28.20 2022-07-29 00:31:39.072    Unclassified    13.1                 Clear_          -99                                     None           None
    AT  2022pxo          MASTER MASTER-OT-J184424.60+114014.4   18:44:24.600   +11:40:14.40 2022-07-29 00:31:39.072    Unclassified    15.6                 Clear_          -99                                     None           None
    AT  2022pxv           ATLAS                ATLAS22xbh   18:11:32.860   +40:34:02.78 2022-07-26 09:32:36.960    Unclassified  19.627             cyan_ATLAS          -99                                     None          -99  None
    AT  2022qcq      GaiaAlerts                 Gaia22dbb   17:59:08.590   +14:51:30.49 2022-07-22 18:53:16.800    Unclassified   14.59                 G_Gaia          -99                                     None          -99  None
    AT  2022qcr      GaiaAlerts                 Gaia22dbc   18:29:28.080   +28:28:36.73 2022-07-22 08:54:14.400    Unclassified   15.74                 G_Gaia          -99                                     None          -99  None
    AT  2022qdd         ANTARES              ZTF22aaxddal   18:07:20.870   +29:07:23.21 2022-07-30 07:22:09.120    Unclassified 20.1278                  g_ZTF          -99                                     None          -99  None
