#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT  2022hkb      Pan-STARRS                   PS22dgk   10:38:57.219   +70:17:01.04 2022-04-11 06:53:38.400    Unclassified   18.65                   i_P1          -99                                     None          -99 None
    AT  2022hvq          ALeRCE              ZTF22aagyber   09:41:06.217   +71:43:24.60 2022-04-16 05:24:35.001    Unclassified 20.0713                  r_ZTF          -99                                     None          -99 None
    AT  2022hwh      Pan-STARRS                   PS22dlu   11:15:28.186   +72:26:45.00 2022-04-12 07:46:09.408    Unclassified   20.56                   i_P1          -99                                     None          -99 None
    AT  2022ibe          ALeRCE              ZTF22aaheanl   10:58:42.845   +73:37:18.89 2022-04-21 06:46:37.001    Unclassified 20.3497                  g_ZTF          -99                 WISEAJ105842.97+733719.6          -99 None
    AT  2022ibf          ALeRCE              ZTF22aaheakp   06:54:07.391   +69:38:38.88 2022-04-20 03:59:29.003    Unclassified 19.7272                  g_ZTF          -99                 WISEAJ065407.35+693839.7          -99 None
    AT  2022ibm          ALeRCE              ZTF18aauyrlg   15:03:51.534   +79:49:51.66 2022-04-21 08:20:45.997    Unclassified 19.7878                  r_ZTF          -99                 WISEAJ150351.61+794951.3          -99 None
    AT  2022ifx          ALeRCE              ZTF22aahhske   11:46:20.955   +75:11:34.62 2022-04-20 07:19:12.000    Unclassified 19.5544                  g_ZTF          -99                  SDSSJ114620.85+751134.9          -99 None
    AT  2022iit          ALeRCE              ZTF22aahdkru   05:57:08.895   +83:16:37.13 2022-04-21 05:42:51.002    Unclassified 20.3692                  r_ZTF          -99                  SDSSJ055709.17+831637.1          -99 None
    AT  2022ipl             ZTF              ZTF22aahdsnu   08:52:49.307   +67:51:18.51 2022-04-19 07:46:33.600    Unclassified   20.08                  r_ZTF          -99                                     None          -99 None
    AT  2022ipm             ZTF              ZTF22aahwbiy   08:06:31.420   +76:01:29.92 2022-04-21 05:44:09.600    Unclassified   20.23                  r_ZTF          -99                                     None          -99 None
    AT  2022ise            Fink              ZTF22aaibiqg   09:53:00.970   +82:21:25.04 2022-04-02 08:17:55.003    Unclassified 20.5415                  r_ZTF          -99                                     None          -99 None
    AT  2022ivm             ZTF              ZTF22aahkemb   12:18:49.170   +84:42:26.73 2022-04-24 11:22:33.600    Unclassified   19.86                  g_ZTF          -99                                     None          -99 None
    AT  2022iyy             ZTF              ZTF22aaheexa   09:06:42.077   +76:20:40.63 2022-04-19 06:15:50.400    Unclassified   19.84                  g_ZTF          -99                                     None          -99 None
