#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT   2001ke            None                      None   11:34:29.640   -76:01:41.48 2001-12-04 00:00:00.000    Unclassified    23.0                   None          -99                                    Anon.          -99
    SN   2003gh            None                      None   07:45:17.930   -71:24:37.30 2003-06-29 00:00:00.000            SNIa    15.7                   None          -99                                  NGC2466          -99
    SN   2004ch            None                      None   14:34:06.269   -78:23:09.49 2004-05-28 00:00:00.000            SNII    16.0                   None          -99                                  NGC5612          -99
    SN   2006ai            None                      None   07:29:52.159   -84:02:20.51 2006-02-17 00:00:00.000            SNII    16.2                   None          -99                                  ESO5-G9          -99
    SN   2007as            None                      None   09:27:36.010   -80:10:39.22 2007-03-13 00:00:00.000            SNIa    15.8                   None          -99                                ESO18-G18          -99
    SN   2008bc            None                      None   09:38:31.229   -63:58:25.61 2008-03-13 00:00:00.000            SNIa    15.4                   None          -99                                    Anon.          -99
    SN   2009dq            None                      None   10:08:49.939   -67:01:57.29 2009-04-24 00:00:00.000           SNIIb    15.2                   None          -99                                   IC2554          -99
    SN   2012hb            None                      None   09:02:05.460   -64:54:19.69 2012-11-04 00:00:00.000            SNII    17.5                   None          -99                                 ESO90-15          -99
    SN    2013B            None                      None   09:04:00.799   -72:03:24.80 2013-01-03 00:00:00.000            SNIa    17.2                   None          -99                                 ESO60-26          -99
    SN   2013ch            None                      None   12:41:43.411   -84:27:52.42 2013-04-30 00:00:00.000           SNIIb    16.9                   None          -99                                   ESO7-6          -99
    SN    2013H            None                      None   09:06:30.701   -75:49:01.49 2013-01-06 00:00:00.000            SNIa    16.5                   None          -99                                ESO36-G19          -99
    SN   2014cq            None                      None   09:23:29.551   -63:40:28.31 2014-06-20 00:00:00.000           SNIIb    16.8                   None          -99                                    Anon.          -99
    SN   2015bj            None                      None   09:19:52.730   -68:54:41.20 2015-11-23 01:30:43.000            SNII    16.6              V_Johnson        0.014                              ESO061-G008     0.011208
    AT   2015ds            None                      None   12:20:54.046   -62:38:21.99 2015-01-31 00:00:00.000    Unclassified    11.1               3.4_WISE          -99                                     None          -99
    AT  2016cbw            BOSS                      None   08:19:09.330   -67:30:16.40 2016-04-26 10:15:55.000    Unclassified    17.5                 Other_          -99                              ESO-89-0G17     0.023746
    AT  2016cnz            BOSS                      None   07:45:22.970   -71:24:40.70 2016-05-25 09:04:51.000    Unclassified    17.7                 Other_          -99                                  NGC2466     0.017722
    AT  2016dag            BOSS                      None   08:19:07.450   -78:41:54.00 2016-07-09 09:22:13.000    Unclassified    17.0                 Other_          -99                             ESO-18-G-002          -99
    AT  2016dby      GaiaAlerts                 Gaia16aaq   15:01:45.700   -85:24:37.90 2016-01-20 19:50:52.000    Unclassified   18.61                 G_Gaia          -99                                     None          -99
    AT  2016dqo      GaiaAlerts                 Gaia16adf   16:02:33.500   -83:13:54.30 2016-02-09 12:01:26.000    Unclassified   18.98                 G_Gaia          -99                                     None          -99
    AT  2016dqw      GaiaAlerts                 Gaia16ads   07:46:22.500   -77:47:16.70 2016-02-13 12:08:38.000    Unclassified   15.64                 G_Gaia          -99                                     None          -99
    AT  2016dud      GaiaAlerts                 Gaia16ahy   13:17:07.200   -74:54:47.20 2016-03-13 23:25:26.000    Unclassified   17.42                 G_Gaia          -99                                     None          -99
    AT  2016dvj      GaiaAlerts                 Gaia16ain   10:22:35.500   -75:16:23.00 2016-03-15 23:35:31.000    Unclassified   18.56                 G_Gaia          -99                                     None          -99
    AT  2016ele      GaiaAlerts                 Gaia16awy   14:21:24.400   -84:31:30.60 2016-07-28 04:36:28.000              CV   18.13                 G_Gaia          -99                                     None          -99
    AT  2016eqi      GaiaAlerts                 Gaia16axw   12:54:47.600   -70:15:19.30 2016-08-01 10:40:48.000    Unclassified   18.52                 G_Gaia          -99                                     None          -99
    AT  2016eqj      GaiaAlerts                 Gaia16axx   12:20:05.300   -68:02:53.90 2016-08-02 04:39:21.000    Unclassified   17.64                 G_Gaia          -99                                     None          -99
    AT  2016foy            BOSS                      None   08:02:29.810   -72:25:33.06 2016-08-30 17:46:00.000    Unclassified    17.3                 Other_          -99                              ESO-59-G-24          -99
    AT  2016fqm      GaiaAlerts                 Gaia16bcs   10:15:33.700   -61:47:17.09 2016-08-03 04:23:31.000    Unclassified   17.28                 G_Gaia          -99                                     None          -99
    AT  2016fqn      GaiaAlerts                 Gaia16bcu   10:11:00.450   -64:28:13.66 2016-08-26 16:16:19.000    Unclassified   18.56                 G_Gaia          -99                                     None          -99
    AT  2016fqu      GaiaAlerts                 Gaia16bda   10:47:11.370   -60:07:16.39 2016-08-26 16:22:04.000    Unclassified   18.21                 G_Gaia          -99                                     None          -99
    AT  2016fqv      GaiaAlerts                 Gaia16bdc   08:45:44.510   -71:21:25.56 2016-08-27 04:07:40.000    Unclassified   17.42                 G_Gaia          -99                                     None          -99
    AT  2016fqw      GaiaAlerts                 Gaia16bde   09:45:10.180   -70:13:48.11 2016-08-27 10:12:00.000    Unclassified   17.93                 G_Gaia          -99                                     None          -99
    AT  2016fra      GaiaAlerts                 Gaia16bdi   09:59:24.520   -73:15:22.86 2016-08-28 04:13:26.000    Unclassified   18.75                 G_Gaia          -99                                     None          -99
