#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1926B            None                      None   16:32:21.100   +19:50:24.00 1926-06-17 00:00:00.000    Unclassified    14.8                   None          -99                                  NGC6181          -99
    AT    1950O            None                      None   16:15:09.391   +18:57:14.40 1950-04-18 00:00:00.000    Unclassified    17.0                   None          -99                                    Anon.          -99
    #AT    1951I            None                      None   16:32:20.800   +19:49:30.00                   None    Unclassified    15.7                   None          -99                                  NGC6181          -99
    AT    1953B            None                      None   16:20:56.300   +40:06:51.00 1953-05-18 00:00:00.000    Unclassified    17.5                   None          -99                                 UGC10349          -99
    AT    1958A            None                      None   16:00:50.191   +19:42:37.01 1958-08-08 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT    1961J            None                      None   16:11:47.561   +29:34:21.22 1961-06-06 00:00:00.000    Unclassified    16.0                   None          -99                                    Anon.          -99
    AT    1962C            None                      None   16:05:04.980   +17:34:54.41 1962-01-06 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    AT    1963Q            None                      None   16:06:40.351   +17:11:32.60 1963-09-14 00:00:00.000    Unclassified    17.0                   None          -99                                   IC1195          -99
    AT    1964C            None                      None   16:06:06.859   +17:27:34.70 1964-02-10 00:00:00.000    Unclassified    17.3                   None          -99                                   IC1188          -99
    AT    1964G            None                      None   16:23:38.189   +39:12:23.62 1964-06-02 00:00:00.000    Unclassified    16.0                   None          -99                                    Anon.          -99
    AT    1965F            None                      None   16:10:37.970   +19:03:28.01 1965-03-29 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    AT    1966C            None                      None   16:29:11.200   +40:59:34.00 1966-01-21 00:00:00.000    Unclassified    16.8                   None          -99                                   GIN578          -99
    AT    1967G            None                      None   16:06:08.300   +18:20:03.00 1967-05-13 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT    1968K            None                      None   16:03:05.800   +17:10:14.00 1968-05-02 00:00:00.000    Unclassified    17.5                   None          -99                                 PGC84703          -99
    AT    1968T            None                      None   16:26:53.200   +41:15:04.00 1968-10-17 00:00:00.000    Unclassified    18.0                   None          -99                              MCG+7-34-35          -99
    AT    1969I            None                      None   15:57:49.400   +19:28:36.00 1969-06-17 00:00:00.000    Unclassified    17.0                   None          -99                                    Anon.          -99
    AT    1975K            None                      None   16:36:31.300   +39:02:08.00 1975-08-09 00:00:00.000    Unclassified    17.8                   None          -99                                  NGC6195          -99
    #AT    1977H            None                      None   17:54:08.700   +30:41:43.00                   None    Unclassified    19.0                   None          -99                                 UGC11031          -99
    #AT   1982aa            None                      None   16:05:12.790   +20:32:38.29                   None    Unclassified     0.0                   None          -99                                  NGC6052          -99
    AT   1983ab            None                      None   16:22:34.000   +36:45:25.00 1983-08-27 00:00:00.000    Unclassified    17.1                   None          -99                              KUG1620+368          -99
    SN    1983T            None                      None   16:36:54.200   +36:24:56.00 1983-09-10 00:00:00.000             SNI    16.0                   None          -99                                 UGC10473          -99
    SN    1988Q            None                      None   16:33:20.659   +34:48:20.92 1988-07-05 00:00:00.000            SNII    18.0                   None          -99                                    Anon.          -99
    AT    1990O            None                      None   17:15:35.921   +16:19:25.79 1990-06-22 00:00:00.000    Unclassified    17.0                   None          -99                              MCG+03-44-3          -99
    SN   1991ad            None                      None   16:19:25.300   +17:38:53.00 1991-05-13 00:00:00.000            SNIa    18.5                   None          -99                                    Anon.          -99
    SN   1991af            None                      None   17:27:02.900   +29:28:28.00 1991-05-19 00:00:00.000            SNIa    18.5                   None          -99                               CGCG170-29          -99
    SN   1991am            None                      None   16:41:50.719   +37:44:11.00 1991-07-14 00:00:00.000            SNIa    19.0                   None          -99                              MCG+06-37-6          -99
    SN    1991L            None                      None   16:41:15.029   +39:17:32.60 1991-02-24 00:00:00.000          SNIb/c    18.0                   None          -99                            MCG+07-34-134          -99
    SN    1991R            None                      None   15:54:53.530   +19:00:43.88 1991-04-09 00:00:00.000          SNIb/c    18.0                   None          -99                                    Anon.          -99
    SN   1992ab            None                      None   17:32:45.190   +16:23:45.89 1992-06-01 00:00:00.000            SNII    17.0                   None          -99                                  NGC6389          -99
    SN   1992ap            None                      None   16:30:30.000   +41:28:60.00 1992-07-29 00:00:00.000            SNIa    18.0                   None          -99                                 UGC10430          -99
    SN    1994Q            None                      None   16:49:51.139   +40:25:55.81 1994-06-02 00:00:00.000            SNIa    16.5                   None          -99                                    Anon.          -99
    AT   1995be            None                      None   15:58:14.299   +19:46:06.49 1995-07-18 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT   1996ad            None                      None   15:59:05.909   +19:48:08.10 1996-05-09 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    SN    1996O            None                      None   16:06:00.000   +18:12:00.00 1996-03-21 00:00:00.000            SNIa    18.0                   None          -99                            MCG+03-41-115          -99
    AT   1997ck            None                      None   16:53:00.269   +35:03:46.40 1997-04-29 00:00:00.000    Unclassified    24.0                   None          -99                                    Anon.          -99
    SN   1997cq            None                      None   16:29:50.861   +39:45:20.30 1997-06-02 00:00:00.000           SNIIn    19.2                   None          -99                                    Anon.          -99
    SN   1997dd            None                      None   16:05:46.320   +21:29:14.32 1997-08-20 00:00:00.000           SNIIb    16.4                   None          -99                                  NGC6060          -99
    AT   1998cr            None                      None   16:23:17.249   +37:12:47.48 1998-06-28 00:00:00.000    Unclassified    17.5                   None          -99                                    Anon.          -99
    SN   1998cs            None                      None   16:30:39.221   +41:12:54.40 1998-06-29 00:00:00.000            SNIa    17.5                   None          -99                                 UGC10432          -99
    SN   1998ct            None                      None   15:51:11.669   +21:56:35.99 1998-06-30 00:00:00.000           SNIIn    16.1                   None          -99                                 UGC10062          -99
    aT   1998fe            None                      None   15:59:12.840   +20:45:38.99 1998-07-19 00:00:00.000    Unclassified    18.0                   None          -99                                  NGC6027          -99
    SN   1999cb            None                      None   16:25:48.410   +40:20:32.39 1999-04-04 00:00:00.000            SNIa    16.1                   None          -99                                   Mkn881          -99
    SN   1999cc            None                      None   16:02:42.031   +37:21:34.42 1999-05-08 00:00:00.000            SNIa    16.3                   None          -99                                  NGC6038          -99
    SN   1999ch            None                      None   16:54:45.689   +39:59:13.88 1999-05-13 00:00:00.000            SNIa    19.8                   None          -99                                    Anon.          -99
    AT   2000cc            None                      None   17:23:14.340   +23:40:18.70 2000-04-30 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    SN   2000cg            None                      None   15:59:45.521   +18:48:13.00 2000-05-06 00:00:00.000            SNII    18.6                   None          -99                                 UGC10121          -99
    SN   2000cp            None                      None   16:05:27.619   +17:49:48.79 2000-06-21 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN   2000cq            None                      None   16:21:21.341   +40:48:09.68 2000-06-23 00:00:00.000            SNII    19.3                   None          -99                                 UGC10354          -99
    SN   2000cs            None                      None   16:23:32.239   +39:07:29.10 2000-06-30 00:00:00.000            SNII    17.8                   None          -99                             MCG+07-34-15          -99
    SN   2000ct            None                      None   17:01:03.641   +33:28:45.01 2000-07-04 00:00:00.000           SNIIn    17.5                   None          -99                                    Anon.          -99
    SN    2000M            None                      None   17:32:39.610   +16:23:54.89 2000-02-27 00:00:00.000            SNII    16.5                   None          -99                                  NGC6389          -99
    SN   2001aj            None                      None   16:10:30.230   +19:57:01.19 2001-03-30 00:00:00.000            SNII    18.0                   None          -99                                 UGC10243          -99
    SN   2001bp            None                      None   16:02:09.250   +36:43:08.00 2001-05-15 00:00:00.000            SNIa    17.5                   None          -99                                    Anon.          -99
    SN   2001dy            None                      None   17:04:59.419   +23:10:06.20 2001-08-27 00:00:00.000            SNII    18.0                   None          -99                             MCG+04-40-16          -99
    AT   2001kx            None                   AFJ_009   16:47:00.187   +39:03:35.87 2001-04-16 07:43:23.000    Unclassified 16.7925                r_Sloan          -99                   2MASXJ16470079+3903403      0.02922
    SN    2001W            None                      None   16:41:15.091   +39:17:44.48 2001-02-26 00:00:00.000            SNII    17.5                   None          -99                            MCG+07-34-134          -99
    SN   2002aw            None                      None   16:37:29.059   +40:52:50.30 2002-02-15 00:00:00.000            SNIa    16.6                   None          -99                                    Anon.          -99
    SN   2002cg            None                      None   16:29:00.480   +41:17:00.38 2002-04-13 00:00:00.000            SNIc    17.8                   None          -99                                 UGC10415          -99
    SN   2002ci            None                      None   16:15:37.949   +31:19:17.40 2002-04-19 00:00:00.000            SNIa    17.2                   None          -99                                 UGC10301          -99
    SN   2002de            None                      None   16:16:30.379   +35:42:30.20 2002-06-01 00:00:00.000            SNIa    16.0                   None          -99                                  NGC6104          -99
    SN   2002di            None                      None   16:52:23.299   +30:42:40.00 2002-06-09 00:00:00.000            SNIa    17.6                   None          -99                              MCG+05-40-2          -99
    SN   2002ll            None                      None   16:37:08.299   +41:24:37.69 2002-06-06 00:00:00.000            SNIa    20.5                   None          -99                                    Anon.          -99
    SN   2002ln            None                      None   16:39:24.929   +41:47:29.00 2002-06-06 00:00:00.000            SNII    22.5                   None          -99                                    Anon.          -99
    SN   2002lq            None                      None   16:40:28.831   +41:14:09.10 2002-06-06 00:00:00.000            SNIa    21.9                   None          -99                                    Anon.          -99
    AT   2002mc            None                      None   16:40:16.397   +29:53:33.63 2002-05-08 05:54:23.000    Unclassified   19.54                r_Sloan          -99                  SDSSJ164016.34+295330.3        0.089
    SN   2003ge            None                      None   16:20:08.750   +37:47:53.70 2003-06-21 00:00:00.000            SNIa    17.8                   None          -99                                  NGC6122          -99
    SN   2003gp            None                      None   16:03:55.471   +25:00:24.80 2003-07-23 00:00:00.000            SNII    18.6                   None          -99                                 UGC10160          -99
    SN   2003ia            None                      None   16:17:41.170   +35:00:07.20 2003-09-15 00:00:00.000            SNIa    17.2                   None          -99                                  NGC6109          -99
    SN    2004A            None                      None   16:43:01.901   +36:50:12.52 2004-01-09 00:00:00.000            SNII    15.7                   None          -99                                  NGC6207          -99
    SN   2004au            None                      None   17:42:02.981   +25:37:11.89 2004-03-09 00:00:00.000            SNII    18.8                   None          -99                              MCG+04-42-2          -99
    SN   2004bu            None                      None   15:54:52.030   +21:07:10.99 2004-05-18 00:00:00.000            SNIc    17.1                   None          -99                                 UGC10089          -99
    AT   2004ct            None                      None   15:43:45.751   +28:24:59.51 2004-06-22 00:00:00.000    Unclassified    17.5                   None          -99                             MCG+05-37-17          -99
    SN   2004cv            None                      None   16:06:14.450   +18:24:54.00 2004-06-24 00:00:00.000            SNIa    16.8                   None          -99                            MCG+03-41-120          -99
    SN   2004ec            None                      None   17:08:04.961   +26:22:44.40 2004-08-29 00:00:00.000           SNIIn    17.5                   None          -99                                 UGC10717          -99
    SN   2005bi            None                      None   16:27:21.271   +39:06:43.20 2005-04-11 00:00:00.000            SNII    18.5                   None          -99                             MCG+07-34-36          -99
    SN   2005bj            None                      None   16:49:44.741   +17:51:48.71 2005-04-11 00:00:00.000            SNIc    17.7                   None          -99                              MCG+03-43-5          -99
    AT   2005bp            None                      None   17:09:43.219   +36:25:08.11 2005-04-17 00:00:00.000    Unclassified    18.8                   None          -99                                 UGC10732          -99
    SN   2005dh            None                      None   15:54:03.319   +23:08:09.89 2005-08-10 00:00:00.000            SNIa    17.1                   None          -99                             MCG+04-37-55          -99
    SN   2006ay            None                      None   15:59:12.761   +20:44:27.89 2006-02-24 00:00:00.000            SNIa    19.0                   None          -99                                 UGC10116          -99
    SN   2006be            None                      None   15:45:39.000   +28:05:19.21 2006-03-24 00:00:00.000            SNII    15.4                   None          -99                                   IC4582          -99
    SN   2006bt            None                      None   15:56:30.530   +20:02:45.60 2006-04-26 00:00:00.000            SNIa    17.5                   None          -99                                    Anon.          -99
    SN   2006cd            None                      None   16:05:22.061   +17:45:05.51 2006-05-08 00:00:00.000           SNIIP    18.3                   None          -99                                   IC1179          -99
    SN   2006dw            None                      None   16:17:43.291   +34:57:55.12 2006-07-23 00:00:00.000            SNIa    15.8                   None          -99                                    Anon.          -99
    SN    2006R            None                      None   16:23:20.820   +37:15:49.79 2006-01-26 00:00:00.000            SNIa    17.5                   None          -99                                  NGC6142          -99
    SN   2007ac            None                      None   16:47:02.359   +40:08:47.62 2007-02-19 00:00:00.000            SNII    17.5                   None          -99                                 UGC10550          -99
