#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    #AT    1958F            None                      None   13:20:38.300   -43:42:07.00                   None    Unclassified    16.0                   None          -99                                  NGC5082          -99
    SN  2016aiy         ASAS-SN               ASASSN-16bw   13:08:25.400   -41:58:50.30 2016-02-17 08:52:48.000           SNIIn    16.9              V_Johnson         0.01                              ESO323-G084          -99
    SN  2016cdd         ASAS-SN               ASASSN-16ff   12:31:53.636   -51:44:50.83 2016-05-14 03:36:00.000            SNIb    16.1              V_Johnson     0.008731                              ESO218-G008     0.008731
    SN  2016cyl         ASAS-SN               ASASSN-16gp   13:16:42.770   -55:17:59.89 2016-06-27 03:36:00.000            SNIa    16.6              V_Johnson        0.016                                  WKK2066          -99
    AT  2016dpw      GaiaAlerts                 Gaia16acy   12:59:36.600   -38:06:23.70 2016-02-09 17:19:40.000    Unclassified   17.22                 G_Gaia          -99                                     None          -99
    AT  2016dqs      GaiaAlerts                 Gaia16adz   11:25:57.400   -48:52:47.50 2016-02-14 11:38:24.000    Unclassified   18.32                 G_Gaia          -99                                     None          -99
    AT  2016dra      GaiaAlerts                 Gaia16adn   12:28:54.300   -36:05:08.50 2016-02-11 17:19:40.000    Unclassified   18.94                 G_Gaia          -99                                     None          -99
    AT  2016drb      GaiaAlerts                 Gaia16adk   12:27:26.700   -44:36:38.30 2016-02-11 11:28:19.000    Unclassified   19.33                 G_Gaia          -99                                     None          -99
    AT  2016dri      GaiaAlerts                 Gaia16aea   11:29:27.700   -41:04:05.20 2016-02-15 19:19:12.000    Unclassified   18.08                 G_Gaia          -99                                     None          -99
    AT  2016drl      GaiaAlerts                 Gaia16aec   11:52:48.900   -33:07:27.30 2016-02-15 11:24:00.000    Unclassified   18.77                 G_Gaia          -99                                     None          -99
    AT  2016drx      GaiaAlerts                 Gaia16aek   11:04:38.300   -44:19:51.70 2016-02-16 17:38:24.000    Unclassified   17.81                 G_Gaia          -99                                     None          -99
    AT  2016drz      GaiaAlerts                 Gaia16aei   10:45:40.400   -50:40:45.00 2016-02-16 05:44:09.000    Unclassified   18.27                 G_Gaia          -99                                     None          -99
    AT  2016dsa      GaiaAlerts                 Gaia16aej   11:10:58.900   -42:23:28.80 2016-02-16 23:36:57.000    Unclassified   17.41                 G_Gaia          -99                                     None          -99
    AT  2016dts      GaiaAlerts                 Gaia16agk   12:10:37.000   -33:08:25.80 2016-02-27 13:16:19.000    Unclassified   16.35                 G_Gaia          -99                                     None          -99
    AT  2016duk      GaiaAlerts                 Gaia16aho   10:53:58.500   -42:30:49.30 2016-03-05 13:37:55.000    Unclassified   16.67                 G_Gaia          -99                                     None          -99
    AT  2016dur      GaiaAlerts                 Gaia16ahg   12:54:57.400   -41:40:39.10 2016-03-03 17:26:52.000    Unclassified   18.03                 G_Gaia          -99                                     None          -99
    AT  2016dyo      GaiaAlerts                 Gaia16amx   11:06:05.500   -42:07:39.30 2016-05-03 23:41:16.000    Unclassified   18.64                 G_Gaia          -99                                     None          -99
    AT  2016ebi      GaiaAlerts                 Gaia16apr   12:13:38.000   -50:23:48.40 2016-05-19 07:26:24.000    Unclassified   17.38                 G_Gaia          -99                                     None          -99
    AT  2016ecd      GaiaAlerts                 Gaia16aqv   11:24:19.400   -45:11:41.90 2016-05-25 07:32:09.000    Unclassified   19.12                 G_Gaia          -99                                     None          -99
    AT  2016efa      GaiaAlerts                 Gaia16atj   12:27:05.400   -38:58:48.50 2016-07-04 23:24:00.000    Unclassified   18.89                 G_Gaia          -99                                     None          -99
    AT  2016eva      GaiaAlerts                 Gaia16ayz   11:54:34.400   -48:59:35.60 2016-08-06 22:37:55.000    Unclassified   18.47                 G_Gaia          -99                                     None          -99
    AT  2016evn      GaiaAlerts                 Gaia16azf   11:34:35.800   -44:53:20.20 2016-08-07 22:33:36.000    Unclassified   18.02                 G_Gaia          -99                                     None          -99
    AT  2016ewp      GaiaAlerts                 Gaia16azn   11:26:36.200   -53:02:24.00 2016-08-05 18:18:43.000    Unclassified   18.96                 G_Gaia          -99                                     None          -99
    AT  2016fqd      GaiaAlerts                 Gaia16bcq   11:13:17.330   -48:42:12.60 2016-08-25 10:30:43.000    Unclassified   18.46                 G_Gaia          -99                                     None          -99
    AT  2016fqj      GaiaAlerts                 Gaia16bcr   11:28:17.330   -45:05:27.06 2016-08-25 10:35:02.000    Unclassified   18.71                 G_Gaia          -99                                     None          -99
    AT  2016fqo      GaiaAlerts                 Gaia16bcv   10:51:49.900   -56:43:57.04 2016-08-26 04:23:31.000    Unclassified   18.16                 G_Gaia          -99                                     None          -99
    AT  2016fqx      GaiaAlerts                 Gaia16bdf   12:15:11.020   -46:33:52.16 2016-08-27 16:39:21.000    Unclassified   18.76                 G_Gaia          -99                                     None          -99
    AT  2016frb      GaiaAlerts                 Gaia16bdj   12:27:33.740   -46:41:54.89 2016-08-28 04:40:48.000    Unclassified   17.48                 G_Gaia          -99                                     None          -99
    AT  2016frc      GaiaAlerts                 Gaia16bdk   12:39:33.510   -42:54:53.89 2016-08-28 10:45:07.000    Unclassified   18.84                 G_Gaia          -99                                     None          -99
    AT  2016frg      GaiaAlerts                 Gaia16bdo   12:30:10.010   -59:35:27.02 2016-08-29 10:32:09.000    Unclassified   18.46                 G_Gaia          -99                                     None          -99
    AT  2016fri      GaiaAlerts                 Gaia16bdp   11:48:54.800   -55:06:01.62 2016-08-27 16:30:43.000    Unclassified   18.57                 G_Gaia          -99                                     None          -99
    AT  2016fry      GaiaAlerts                 Gaia16bec   12:53:07.750   -57:03:25.02 2016-08-29 22:35:02.000    Unclassified    17.7                 G_Gaia          -99                                     None          -99
    AT  2016hai      GaiaAlerts                 Gaia16bmb   11:12:03.660   -58:15:06.37 2016-10-08 04:52:19.000    Unclassified   17.96                 G_Gaia          -99                                     None          -99
    AT  2016hay      GaiaAlerts                 Gaia16bmi   11:56:06.090   -60:34:16.90 2016-10-09 09:11:31.000    Unclassified   16.59                 G_Gaia          -99                                     None          -99
    AT  2016hcu      GaiaAlerts                 Gaia16bmp   11:28:05.400   -52:44:56.58 2016-10-10 03:02:52.000    Unclassified   17.45                 G_Gaia          -99                                     None          -99
    AT  2016hdc      GaiaAlerts                 Gaia16bmu   12:07:06.320   -59:03:34.09 2016-10-10 03:11:31.000    Unclassified   17.86                 G_Gaia          -99                                     None          -99
    AT  2016hev      GaiaAlerts                 Gaia16bnc   12:35:34.390   -60:04:04.22 2016-10-10 17:02:24.000    Unclassified   18.48                 G_Gaia          -99                                     None          -99
    AT  2016hew      GaiaAlerts                 Gaia16bnd   12:02:57.050   -55:28:40.58 2016-10-10 22:55:12.000    Unclassified   18.75                 G_Gaia          -99                                     None          -99
    AT  2016hfn      GaiaAlerts                 Gaia16bni   12:04:46.120   -50:39:15.48 2016-10-13 16:55:12.000    Unclassified   18.99                 G_Gaia          -99                                     None          -99
    AT  2016hkg      GaiaAlerts                 Gaia16boi   12:38:51.720   -55:40:56.17 2016-10-12 11:00:57.000    Unclassified    16.5                 G_Gaia          -99                                     None          -99
