1221.977 85.706 1221 85 lc/lc_4FGL J0414.6-0842  1
87.812 280.802 87 280 lc/lc_4FGL J0348.8-0828  1
1523.554 192.839 1523 192 lc/lc_4FGL J0421.0-0752  1
1605.997 388.456 1605 388 lc/lc_4FGL J0422.1-0644  1
2034.129 819.905 2034 819 lc/lc_4FGL J0430.2-0356  1
1165.120 953.866 1165 953 lc/lc_4FGL J0409.8-0359  1
642.545 1152.237 642 1152 lc/lc_4FGL J0357.2-0319  1
1551.111 1088.209 1551 1088 lc/lc_4FGL J0418.1-0252  1
757.829 1262.895 757 1262 lc/lc_4FGL J0359.4-0236  1
1814.738 1315.578 1814 1315 lc/lc_4FGL J0423.3-0120  1
1932.023 1632.346 1932 1632 lc/lc_4FGL J0424.7+0036  1
1615.215 1769.220 1615 1769 lc/lc_4FGL J0416.9+0105  1
1901.132 1952.534 1901 1952 lc/lc_4FGL J0422.8+0225  1
1335.524 1088.299 1335 1088 lc/lc_4FGL J0413.1-0304  1
