#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1935A            None                      None   17:26:28.500   -59:43:42.00 1935-06-05 00:00:00.000    Unclassified    15.0                   None          -99                                   IC4652          -99
    AT    1983F            None                      None   18:42:21.300   -67:02:07.00 1983-03-12 00:00:00.000    Unclassified     0.0                   None          -99                               2MFGC14543          -99
    AT    1985T            None                      None   19:03:28.541   -65:36:12.38 1985-06-15 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    AT    1990W            None                      None   16:52:47.249   -59:12:55.12 1990-08-16 00:00:00.000    Unclassified    15.0                   None          -99                                  NGC6221          -99
    SN   1998cx            None                      None   16:54:55.310   -72:35:24.00 1998-07-04 00:00:00.000            SNIa    17.8                   None          -99                                  NGC6209          -99
    SN   2001cn            None                      None   18:46:17.839   -65:45:41.80 2001-06-11 00:00:00.000            SNIa    14.8                   None          -99                                   IC4758          -99
    SN   2002by            None                      None   17:50:18.581   -59:33:51.59 2002-03-31 00:00:00.000        SNIa-pec    14.5                   None          -99                               ESO139-G34          -99
    SN   2004ac            None                      None   18:47:43.670   -63:08:54.60 2004-02-29 00:00:00.000            SNIa    16.9                   None          -99                                   IC4769          -99
    SN   2004fv            None                      None   18:02:46.380   -66:25:54.70 2004-11-04 00:00:00.000            SNIa    14.8                   None          -99                                  NGC6492          -99
    AT   2007cr            None                      None   16:21:56.501   -60:40:23.99 2007-06-16 00:00:00.000    Unclassified    15.0                   None          -99                                ESO137-19          -99
    SN   2008ag            None                      None   18:39:52.380   -67:25:59.02 2008-02-03 00:00:00.000           SNIIP    16.7                   None          -99                                   IC4729          -99
    SN   2008fa            None                      None   19:03:40.519   -64:53:21.08 2008-08-20 00:00:00.000            SNIa    17.6                   None          -99                                  NGC6722          -99
    SN   2009ap            None                      None   17:26:43.231   -59:55:57.90 2009-03-05 00:00:00.000            SNIc    16.9                   None          -99                                ESO138-27          -99
    SN   2009fz            None                      None   16:54:48.370   -72:34:55.99 2009-06-08 00:00:00.000           SNIIb    16.5                   None          -99                                  NGC6209          -99
    SN   2009gd            None                      None   15:48:22.790   -75:40:47.78 2009-06-09 00:00:00.000            SNIc    16.4                   None          -99                                  NGC5967          -99
    SN   2009ge            None                      None   16:56:53.050   -65:57:18.90 2009-06-11 00:00:00.000            SNII    16.1                   None          -99                                    Anon.          -99
    SN   2009gu            None                      None   15:54:50.940   -68:43:00.19 2009-06-27 00:00:00.000            SNIa    16.3                   None          -99                                 ESO68-12          -99
    SN   2011di            None                      None   18:43:59.059   -61:59:46.28 2011-05-13 00:00:00.000            SNIa    17.5                   None          -99                                   IC4754          -99
    SN   2012bt            None                      None   18:08:13.049   -62:23:54.20 2012-03-07 00:00:00.000            SNIc    16.5                   None          -99                                   IC4674          -99
    SN   2012db            None                      None   17:48:48.631   -60:42:19.01 2012-06-24 00:00:00.000            SNIa    14.6                   None          -99                               ESO139-G28          -99
    SN   2013ay            None                      None   18:42:37.860   -64:56:13.49 2013-03-26 00:00:00.000            SNIa    15.1                   None          -99                                   IC4745          -99
    SN   2013by            None                      None   16:59:02.431   -60:11:41.78 2013-04-23 00:00:00.000            SNII    13.5                   None          -99                               ESO138-G10          -99
    SN   2014ca            None                      None   16:53:20.940   -72:30:51.98 2014-05-10 00:00:00.000            SNII    17.3                   None          -99                                    Anon.          -99
    AT  2016aue         ASAS-SN               ASASSN-16cu   18:35:56.532   -63:22:25.64 2016-03-06 08:52:48.000    Unclassified    16.9              V_Johnson          -99                                   IC4723     0.011128
    SN  2016bmi            BOSS                      None   18:34:32.190   -58:31:44.80 2016-04-14 11:48:36.000           SNIIP    17.6                 Other_       0.0074                                   IC4721     0.007455
    AT  2016cqz         ASAS-SN               ASASSN-16fv   18:28:10.441   -71:41:38.81 2016-06-06 06:43:12.000    Unclassified    15.6              V_Johnson          -99                                   IC4705     0.011972
    AT  2016dqi      GaiaAlerts                 Gaia16acl   18:03:23.500   -65:07:36.80 2016-02-04 05:52:48.000    Unclassified   17.69                 G_Gaia          -99                                     None          -99
    AT  2016dvm      GaiaAlerts                 Gaia16aij   18:22:43.500   -61:37:23.20 2016-03-13 12:40:19.000    Unclassified   18.07                 G_Gaia          -99                                     None          -99
    AT  2016dxl      GaiaAlerts                 Gaia16ald   17:53:51.200   -64:17:39.90 2016-04-14 04:40:48.000    Unclassified   15.82                 G_Gaia          -99                                     None          -99
    AT  2016dzx      GaiaAlerts                 Gaia16anj   18:10:56.000   -58:45:50.60 2016-05-06 10:40:48.000    Unclassified   18.11                 G_Gaia          -99                                     None          -99
    AT  2016eat      GaiaAlerts                 Gaia16aoh   18:19:04.800   -74:41:23.80 2016-05-12 10:50:52.000    Unclassified   16.31                 G_Gaia          -99                                     None          -99
    AT  2016ees      GaiaAlerts                 Gaia16atr   18:15:57.600   -72:40:37.70 2016-07-04 22:36:28.000    Unclassified   15.81                 G_Gaia          -99                                     None          -99
    AT  2016eeu      GaiaAlerts                 Gaia16atp   17:08:04.700   -69:23:21.40 2016-07-07 04:43:40.000    Unclassified   17.25                 G_Gaia          -99                                     None          -99
    AT  2016ekj      GaiaAlerts                 Gaia16awu   17:15:53.500   -64:55:17.50 2016-07-26 12:44:38.000    Unclassified   18.66                 G_Gaia          -99                                     None          -99
    AT  2016elj      GaiaAlerts                 Gaia16awz   16:17:49.300   -77:17:18.50 2016-07-28 00:31:40.000    Unclassified   16.77                 G_Gaia          -99                                     None          -99
    AT  2016emp      GaiaAlerts                 Gaia16axg   16:24:32.000   -65:50:18.30 2016-07-29 06:44:38.000    Unclassified   17.88                 G_Gaia          -99                                     None          -99
    AT  2016emq      GaiaAlerts                 Gaia16axh   16:18:29.200   -65:17:27.20 2016-07-29 12:44:38.000    Unclassified   18.06                 G_Gaia          -99                                     None          -99
    AT  2016ems      GaiaAlerts                 Gaia16axj   15:37:01.900   -68:18:09.80 2016-07-30 10:53:45.000    Unclassified   18.62                 G_Gaia          -99                                     None          -99
    AT  2016eni      GaiaAlerts                 Gaia16axn   15:38:06.900   -64:52:49.10 2016-07-31 04:58:04.000    Unclassified   17.49                 G_Gaia          -99                                     None          -99
    AT  2016eqk      GaiaAlerts                 Gaia16axy   15:31:23.400   -60:11:57.70 2016-08-01 06:48:57.000    Unclassified   18.42                 G_Gaia          -99                                     None          -99
    AT  2016esl      GaiaAlerts                 Gaia16ayd   15:25:48.000   -63:35:55.30 2016-07-31 18:44:38.000    Unclassified   18.12                 G_Gaia          -99                                     None          -99
    AT  2016evw            None                 DLT128078   17:06:22.704   -62:09:27.07 2016-07-29 01:09:24.000    Unclassified    16.1                 Clear_          -99                               ESO138-014      0.00503
    AT  2016fbe           DLT40                    DLT16r   16:26:27.826   -59:58:40.04 2016-08-14 03:44:24.000    Unclassified    17.8                 Clear_          -99                               ESO137-027          -99
    AT  2016fbu           TAROT                      None   16:17:58.090   -60:42:41.00 2016-08-16 01:33:06.000    Unclassified    16.8              R_Cousins          -99                   2MASXJ16180412-6041419          -99
    AT  2016fsx      GaiaAlerts                 Gaia16bfa   15:09:24.780   -67:26:05.39 2016-09-02 16:30:43.000    Unclassified   18.98                 G_Gaia          -99                                     None          -99
    AT  2016ftc      GaiaAlerts                 Gaia16bfe   16:06:28.760   -65:28:53.26 2016-09-04 04:30:43.000    Unclassified   18.01                 G_Gaia          -99                                     None          -99
