#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1971R            None                      None   18:58:21.400   -62:07:17.00 1971-10-01 00:00:00.000    Unclassified    13.0                   None          -99                                   IC4798          -99
    AT    1975V            None                      None   20:18:13.270   -69:03:38.99 1975-08-29 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT    1976O            None                      None   20:23:24.869   -50:32:29.51 1976-08-19 00:00:00.000    Unclassified    16.0                   None          -99                               ESO234-G16          -99
    AT    1976Q            None                      None   21:20:55.001   -67:13:24.20 1976-11-14 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    AT    1976R            None                      None   19:22:49.940   -55:46:55.73 1976-05-31 16:39:00.000    Unclassified    18.4              B_Johnson          -99                                  NGC6780     0.011662
    AT    1978J            None                      None   22:26:13.020   -67:10:23.30 1978-07-30 00:00:00.000    Unclassified    17.5                   None          -99                                    Anon.          -99
    AT    1978L            None                      None   20:46:34.310   -53:19:10.31 1978-08-25 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    #AT    1982K            None                      None   20:10:56.600   -55:37:05.00                   None    Unclassified    18.5                   None          -99                                    Anon.          -99
    AT    1982N            None                      None   21:15:16.300   -65:55:14.00 1982-08-18 00:00:00.000    Unclassified    17.0                   None          -99                                    Anon.          -99
    AT    1983F            None                      None   18:42:21.300   -67:02:07.00 1983-03-12 00:00:00.000    Unclassified     0.0                   None          -99                               2MFGC14543          -99
    AT    1983L            None                      None   21:15:05.500   -47:13:45.00 1983-06-14 00:00:00.000    Unclassified    17.1                   None          -99                                  NGC7038          -99
    AT    1983Y            None                      None   21:35:54.300   -63:54:26.00 1983-04-14 00:00:00.000    Unclassified    18.0                   None          -99                                  NGC7083          -99
    AT    1984K            None                      None   20:03:30.900   -54:50:16.00 1984-08-02 00:00:00.000    Unclassified    16.0                   None          -99                                  NGC6850          -99
    SN    1984O            None                      None   19:15:36.900   -54:38:54.00 1984-10-22 00:00:00.000             SNI    15.0                   None          -99                                   IC4839          -99
    AT    1985N            None                      None   21:53:30.100   -55:24:02.00 1985-08-21 00:00:00.000    Unclassified     0.0                   None          -99                                    Anon.          -99
    AT    1985T            None                      None   19:03:28.541   -65:36:12.38 1985-06-15 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    SN    1987I            None                      None   20:12:06.100   -55:14:41.00 1987-07-02 00:00:00.000             SNI    16.0                   None          -99                                   IC4963          -99
    SN   1990af            None                      None   21:34:58.121   -62:44:07.40 1990-10-24 00:00:00.000            SNIa    17.0                   None          -99                                    Anon.          -99
    AT    1990T            None                      None   19:59:02.280   -56:15:29.99 1990-07-21 00:00:00.000    Unclassified    16.5                   None          -99                                    Anon.          -99
    SN   1991ag            None                      None   20:00:08.599   -55:22:03.22 1991-06-09 00:00:00.000            SNIa    15.0                   None          -99                                   IC4919          -99
    SN   1991al            None                      None   19:42:24.060   -55:06:23.62 1991-07-16 00:00:00.000            SNII    16.0                   None          -99                                    Anon.          -99
    SN   1992ae            None                      None   21:28:17.659   -61:33:00.00 1992-06-27 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN   1992al            None                      None   20:45:56.489   -51:23:39.98 1992-07-27 00:00:00.000            SNIa    16.0                   None          -99                               ESO234-G69          -99
    SN    1992N            None                      None   19:14:57.300   -62:17:01.00 1992-03-10 00:00:00.000            SNII    19.0                   None     0.014494                                   IC4831          -99
    SN    1992O            None                      None   19:23:42.290   -62:49:30.11 1992-03-10 00:00:00.000            SNIa    17.8                   None          -99                                    Anon.          -99
    SN    1992U            None                      None   20:40:46.500   -70:41:33.00 1992-04-09 00:00:00.000            SNII    18.5                   None     0.010919                                ESO74-G04          -99
    SN    1993M            None                      None   19:13:01.529   -64:17:28.28 1993-04-28 00:00:00.000            SNIa    18.5                   None          -99                                    Anon.          -99
    SN    1995U            None                      None   20:54:40.620   -51:22:26.80 1995-07-29 00:00:00.000            SNIa    18.0                   None          -99                              ESO235-IG13          -99
    AT   1996af            None                      None   22:28:31.130   -68:58:32.99 1996-06-12 00:00:00.000    Unclassified    19.5                   None          -99                                    Anon.          -99
    AT   1996ap            None                      None   21:45:53.489   -57:08:27.31 1996-08-11 00:00:00.000    Unclassified    19.5                   None          -99                                    Anon.          -99
    SN   1996as            None                      None   21:05:36.300   -52:22:41.20 1996-08-03 00:00:00.000            SNII    17.5                   None          -99                                    Anon.          -99
    AT   1997cp            None                      None   21:44:36.499   -57:25:30.40 1997-06-02 00:00:00.000    Unclassified    20.3                   None          -99                                    Anon.          -99
    SN   1997de            None                      None   19:18:20.820   -60:29:42.00 1997-08-27 00:00:00.000            SNIa    18.2                   None          -99                                  NGC6769          -99
    AT   1998ap            None                      None   20:00:35.580   -52:42:36.79 1998-03-31 00:00:00.000    Unclassified    17.0                   None          -99                                    Anon.          -99
    SN   1998bo            None                      None   19:57:22.550   -55:08:18.38 1998-04-22 00:00:00.000            SNIc    18.0                   None          -99                               ESO185-G31          -99
    SN   1998bw            None                      None   19:35:03.310   -52:50:44.81 1998-04-28 00:00:00.000            SNIc    15.7                   None          -99                               ESO184-G82          -99
    AT   1998df            None                      None   21:32:30.571   -65:03:32.80 1998-07-18 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    AT   1998eh            None                      None   20:48:57.821   -69:05:05.71 1998-10-15 00:00:00.000    Unclassified    18.0                   None          -99                                 ESO74-G9          -99
    SN   1998em            None                      None   19:15:12.689   -54:06:49.72 1998-10-26 00:00:00.000            SNIa    16.5                   None          -99                                  IC4837A          -99
    SN   1998ew            None                      None   20:44:32.100   -68:43:36.98 1998-11-23 00:00:00.000            SNII    14.0                   None          -99                                  NGC6943          -99
    AT   1998ff            None                      None   22:32:48.900   -60:34:04.80 1998-09-28 00:00:00.000    Unclassified    25.3                   None          -99                                    Anon.          -99
    SN   2000cj            None                      None   19:11:27.660   -57:03:19.40 2000-05-14 00:00:00.000            SNIa    14.8                   None          -99                                  NGC6753          -99
    SN   2001bd            None                      None   19:13:10.970   -64:17:07.01 2001-04-19 00:00:00.000            SNII    22.6                   None          -99                                    Anon.          -99
    SN   2001bt            None                      None   19:13:46.750   -59:17:22.81 2001-05-24 00:00:00.000            SNIa    15.0                   None          -99                                   IC4830          -99
    SN   2001cn            None                      None   18:46:17.839   -65:45:41.80 2001-06-11 00:00:00.000            SNIa    14.8                   None          -99                                   IC4758          -99
    SN   2002dm            None                      None   20:32:07.301   -57:35:03.41 2002-05-13 00:00:00.000            SNIa    19.0                   None          -99                                   IC5017          -99
    SN   2003ho            None                      None   21:06:30.559   -48:07:29.89 2003-07-31 00:00:00.000            SNII    18.6                   None          -99                               ESO235-G58          -99
    SN   2004ac            None                      None   18:47:43.670   -63:08:54.60 2004-02-29 00:00:00.000            SNIa    16.9                   None          -99                                   IC4769          -99
    AT   2004cw            None                      None   19:30:57.449   -53:32:28.72 2004-06-13 00:00:00.000    Unclassified    16.6                   None          -99                                ESO184-75          -99
    SN   2005at            None                      None   19:09:53.570   -63:49:22.80 2005-03-15 00:00:00.000            SNIc    16.0                   None          -99                                  NGC6744          -99
    SN   2005av            None                      None   20:44:37.579   -68:45:10.58 2005-03-24 00:00:00.000           SNIIn    15.4                   None          -99                                  NGC6943          -99
    SN   2005aw            None                      None   19:15:17.441   -54:08:24.90 2005-03-24 00:00:00.000            SNIc    15.3                   None          -99                                   IC4837          -99
    SN   2005br            None                      None   21:09:13.090   -63:17:05.60 2005-03-28 00:00:00.000            SNIb    16.5                   None          -99                                   IC5084          -99
    SN   2005bs            None                      None   20:10:14.110   -56:38:43.58 2005-04-19 00:00:00.000            SNIa    17.4                   None          -99                                    Anon.          -99
    SN   2005cb            None                      None   19:11:21.950   -57:02:27.38 2005-05-13 00:00:00.000          SNIb/c    15.6                   None          -99                                  NGC6753          -99
    AT   2005cm            None                      None   21:55:17.719   -65:30:48.31 2005-06-20 00:00:00.000    Unclassified    16.9                   None          -99                                   IC5142          -99
    AT   2005dk            None                      None   19:40:23.710   -55:12:05.11 2005-08-21 00:00:00.000    Unclassified    17.8                   None          -99                                   IC4882          -99
    AT   2005dn            None                      None   20:11:11.731   -48:16:35.51 2005-08-27 00:00:00.000    Unclassified    15.0                   None          -99                                  NGC6861          -99
    SN   2006bh            None                      None   22:40:16.099   -66:29:06.29 2006-04-02 00:00:00.000            SNIa    14.8                   None          -99                                  NGC7329          -99
    SN   2006ms            None                      None   20:38:20.520   -52:06:55.91 2006-11-06 00:00:00.000            SNII    17.3                   None          -99                                  NGC6935          -99
    AT   2006ox            None                      None   19:18:24.209   -60:30:09.90 2006-11-26 00:00:00.000    Unclassified    15.3                   None          -99                                  NGC6769          -99
    AT   2007bn            None                      None   22:55:52.810   -63:41:31.60 2007-04-18 00:00:00.000    Unclassified    17.0                   None          -99                                  NGC7408          -99
    SN   2008ag            None                      None   18:39:52.380   -67:25:59.02 2008-02-03 00:00:00.000           SNIIP    16.7                   None          -99                                   IC4729          -99
    SN   2008cc            None                      None   21:03:29.621   -67:11:01.10 2008-04-24 00:00:00.000            SNIa    16.0                   None          -99                                ESO107-G4          -99
    SN   2008fa            None                      None   19:03:40.519   -64:53:21.08 2008-08-20 00:00:00.000            SNIa    17.6                   None          -99                                  NGC6722          -99
    SN   2009bu            None                      None   22:56:01.399   -63:41:39.59 2009-03-25 00:00:00.000           SNIIP    16.4                   None          -99                                  NGC7408          -99
    SN   2009gg            None                      None   21:01:29.909   -52:01:00.19 2009-06-13 00:00:00.000            SNIa    15.8                   None          -99                                    Anon.          -99
    SN   2009hm            None                      None   21:35:44.441   -63:54:23.62 2009-07-17 00:00:00.000            SNIb    14.7                   None          -99                                  NGC7083          -99
    SN   2009iu            None                      None   22:40:10.351   -66:28:06.38 2009-09-01 00:00:00.000            SNIb    15.5                   None          -99                                  NGC7329          -99
    SN   2010co            None                      None   20:08:54.919   -56:23:40.81 2010-05-06 00:00:00.000           SNIIP    16.1                   None          -99                                  NGC6862          -99
    SN   2010dc            None                      None   19:27:17.719   -59:18:44.89 2010-05-22 00:00:00.000          SNIb/c    17.2                   None          -99                                   IC4854          -99
    AT   2010ds            None                      None   19:15:51.461   -56:12:30.89 2010-05-22 00:00:00.000    Unclassified    16.4                   None          -99                                   IC4840          -99
    SN   2010dx            None                      None   21:15:11.090   -47:13:34.28 2010-06-08 00:00:00.000            SNII    17.4                   None          -99                                  NGC7038          -99
    AT   2010gt            None                      None   20:51:22.380   -52:32:48.08 2010-08-02 00:00:00.000    Unclassified    18.0                   None          -99                                ESO187-21          -99
    SN   2010gw            None                      None   20:23:25.310   -71:34:04.91 2010-08-10 00:00:00.000           SNIIP    16.6                   None          -99                                   IC4992          -99
    SN   2010hj            None                      None   21:49:09.840   -59:02:23.21 2010-08-04 00:00:00.000            SNIa    17.1                   None          -99                                    Anon.          -99
    SN   2011cb            None                      None   22:47:07.490   -64:49:43.39 2011-04-29 00:00:00.000           SNIIb    14.9                   None          -99                                    Anon.          -99
    SN   2011di            None                      None   18:43:59.059   -61:59:46.28 2011-05-13 00:00:00.000            SNIa    17.5                   None          -99                                   IC4754          -99
    SN   2011ec            None                      None   22:41:37.570   -57:36:08.78 2011-05-14 00:00:00.000            SNIa    17.0                   None          -99                                    Anon.          -99
    SN   2011ed            None                      None   19:15:34.339   -54:37:39.50 2011-03-26 00:00:00.000            SNIa    15.5                   None          -99                                   IC4839          -99
    SN   2011fm            None                      None   19:06:50.170   -61:41:57.70 2011-08-22 00:00:00.000            SNIa    16.4                   None          -99                                   IC4815          -99
    SN   2011gv            None                      None   19:54:21.420   -58:42:38.99 2011-10-19 00:00:00.000           SNIIP    14.5                   None          -99                                   IC4901          -99
    SN   2012bl            None                      None   20:23:55.279   -48:21:17.32 2012-03-26 00:00:00.000            SNIa    15.4                   None          -99                                ESO234-19          -99
    SN   2012du            None                      None   21:49:16.320   -60:42:42.59 2012-06-30 00:00:00.000           SNIIP    15.3                   None          -99                                  NGC7125          -99
    SN   2012dy            None                      None   21:18:50.700   -57:38:42.50 2012-08-03 00:00:00.000            SNII    15.6                   None          -99                                    Anon.          -99
