70.565 112.743 70 112 lc/lc_4FGL J2056.2-4714  1
1038.621 90.575 1038 90 lc/lc_4FGL J2126.3-4605  1
1359.639 639.435 1359 639 lc/lc_4FGL J2130.4-4241  1
1636.788 560.834 1636 560 lc/lc_4FGL J2139.4-4235  1
701.130 996.094 701 996 lc/lc_4FGL J2107.6-4148  1
1940.786 1028.452 1940 1028 lc/lc_4FGL J2143.1-3929  1
1415.538 1233.869 1415 1233 lc/lc_4FGL J2126.1-3922  1
2022.580 1372.471 2022 1372 lc/lc_4FGL J2141.8-3727  1
355.251 683.899 355 683 lc/lc_4FGL J2100.0-4356  1
305.293 1255.891 305 1255 lc/lc_4FGL J2054.1-4054  1
1709.501 1524.186 1709 1524 lc/lc_4FGL J2131.6-3714  1
