#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1970N            None                      None   01:04:19.100   -35:06:56.00 1970-08-03 00:00:00.000    Unclassified    18.8                   None          -99                                   NGC365          -99
    SN    1982L            None                      None   23:36:29.700   -37:55:51.00 1982-07-21 00:00:00.000            SNII    16.0                   None          -99                                  NGC7713          -99
    AT    1982M            None                      None   00:06:50.100   -41:25:11.00 1982-07-21 00:00:00.000    Unclassified    19.5                   None          -99                                    Anon.          -99
    AT    1982P            None                      None   00:31:24.100   -49:35:34.00 1982-08-18 00:00:00.000    Unclassified    18.0                   None     0.021912                               ESO194-G24          -99
    AT    1982S            None                      None   00:43:20.900   -55:19:39.00 1982-10-19 00:00:00.000    Unclassified    18.5                   None          -99                               ESO150-G20          -99
    AT    1983Q            None                      None   00:18:06.200   -37:42:56.00 1983-07-12 00:00:00.000    Unclassified    18.0                   None          -99                                ESO294-G2          -99
    AT   1988ai            None                      None   00:06:21.739   -41:28:59.92 1988-11-07 00:00:00.000    Unclassified    16.0                   None          -99                               ESO293-G34          -99
    AT    1988U            None                      None   00:14:24.300   -30:25:43.00 1988-08-09 00:00:00.000    Unclassified    22.0                   None          -99                                    Anon.          -99
    SN   1991ba            None                      None   01:30:46.910   -42:27:32.00 1991-10-02 00:00:00.000            SNII    18.5                   None          -99                              ESO244-IG32          -99
    SN   1992aj            None                      None   23:47:47.100   -35:12:00.00 1992-07-05 00:00:00.000            SNII    17.0                   None          -99                                    Anon.          -99
    AT   1992ar            None                      None   23:17:30.000   -44:39:00.00 1992-07-27 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    SN   1992au            None                      None   00:10:40.270   -49:56:43.30 1992-07-29 00:00:00.000            SNIa    17.0                   None          -99                                    Anon.          -99
    SN   1992bl            None                      None   23:15:13.250   -44:44:34.51 1992-11-20 00:00:00.000            SNIa    17.0                   None          -99                               ESO291-G11          -99
    SN   1992bo            None                      None   01:21:58.440   -34:12:43.49 1992-12-20 00:00:00.000            SNIa    17.0                   None          -99                               ESO352-G57          -99
    SN    1993T            None                      None   23:10:54.091   -44:58:48.61 1993-05-26 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN    1994Z            None                      None   00:21:16.601   -48:37:49.51 1994-10-02 00:00:00.000            SNII    14.6                   None          -99                                    NGC87          -99
    SN   1996al            None                      None   23:33:16.099   -54:05:02.00 1996-07-22 00:00:00.000            SNII    14.0                   None          -99                                  NGC7689          -99
    AT   1997dh            None                      None   23:45:17.170   -44:56:45.10 1997-10-20 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    AT   1997dj            None                      None   01:14:40.970   -40:35:51.11 1997-10-24 00:00:00.000    Unclassified    22.0                   None          -99                                    Anon.          -99
