KELT_ID	2MASS_ID	TIC_ID	In_CTL	TESS_priority	FP_type_name	FP_type	RA_hours	RA_deg	RA_hms	Dec_dms	Dec_deg	Galactic_long	Galactic_lat	Ecliptic_long	Ecliptic_lat	Vmag	Tc	Tc_err	Period_days	Period_err	Duration_hrs	KELT_depth_mmag	EB_K_km/s	EB_depth_mmag	NEB_RA	NEB_Dec	NEB_dist_text	NEB_dist_arcsec	NEB_dist_is_approx_flag	NEB_direction	NEB_depth_text	NEB_depth_percent	NEB_depth_is_approx_flag	NEB_depth_is_lower_limit	NEB_obs_epoch	NEB_obs_filter	
KS21C038696	J06412897-4141164 	148093701	1	0.00134580208942	SB1	1	6.69138889	100.37083333	06:41:29.00	-41:41:16.90	-41.68802778	250.656	-19.3976	108.17808333	-64.47425	12.06	2457378.245	0.016	5.629495	9.1e-05	4.5	29.0	7.0	nan				nan	nan			nan	nan	nan	nan		
KS05C008121	J06491422+0420133 	256985579	1	0.000933256593858	SB1	1	6.82061981	102.30929708	06:49:14.23130	04:20:13.29612	4.3370267	208.821	1.48765	102.9575	-18.55027778	9.46	2457350.375	0.0068	1.3167918	6e-06	2.074	6.74	nan	nan				nan	nan			nan	nan	nan	nan		
KS30C01997	J03343426-3301233	142977284	1	0.00280872780065	SB1	1	3.5761835	53.6427525	03:34:34.260600	-33:01:23.288160	-33.0231356	232.58	-54.4414	39.01627778	-50.22836111	9.31	2457280.777	0.0086	3.41075	2.9e-05	2.712	12.3	nan	nan				nan	nan			nan	nan	nan	nan		
KJ06C005399	J07000996+0900172	270805930	1	0.00161437897472	SB1	1	7.00277778	105.04166667	07:00:10.00	09:00:17.10	9.00475	205.877	6.01792	105.29336111	-13.63952778	9.32	2457058.231	0.022	6.82803	0.00015	3.7392	5.88	nan	nan				nan	nan			nan	nan	nan	nan		
KC01C15646	J00071296+2654325	437732344	1	0.00257105086553	SB1	1	0.12026111	1.80391667	00:07:12.94	26:54:32.4	26.909	110.894	-34.9269	13.00055556	23.83244444	11.83	2456307.672	0.015	4.344712	4e-05	3.19	17.6	46.0	nan				nan	nan			nan	nan	nan	nan		
KC02C07674	J01494780+4312107	407420912	1	0.000795473368231	SB1	1	1.82994644	27.44919667	01:49:47.8072	43:12:10.774	43.20299278	134.09	-18.4008	41.90947222	29.63266667	11.2	2457331.536	0.011	12.064727	5.9e-05	7.37	19.9	36.0	nan				nan	nan			nan	nan	nan	nan		
KC02C13483	J02461242+3346296	77320223	1	0.000467120706825	SB1	1	2.77011944	41.55179167	02:46:12.43	33:46:29.70	33.77491667	148.685	-23.294	49.44783333	16.90241667	10.61	2454037.458	nan	8.595655	nan	nan	nan	16.0	nan				nan	nan			nan	nan	nan	nan		
KC02C20889	J02114705+3609400	184692429	1	0.00105642915001	SB1	1	2.19641111	32.94616667	02:11:47.08	36:09:34.80	36.15966667	140.593	-23.9413	43.25902778	21.5115	11.98	2454040.223	nan	5.6576636	nan	5.43	21.7	30.0	nan				nan	nan			nan	nan	nan	nan		
KC02C24694	J02500505+2547128	436873913	0	nan	SB1	1	2.83473444	42.52101667	02:50:05.044	25:47:12.60	25.78683333	153.852	-29.8671	47.78036111	9.03608333	12.0	2455198.929	0.0048	1.97792061	1.3e-06	1.92	16.7	nan	nan				nan	nan			nan	nan	nan	nan		
KC02C25510	J01232412+3818338	186514178	1	0.00248439811599	SB1	1	1.38991917	20.8487875	01:23:23.709	38:18:30.54	38.30848333	129.796	-24.137	34.43730556	27.23588889	12.71	2455871.87	0.08	7.9523	0.0005	7.66	16.7	28.0	nan				nan	nan			nan	nan	nan	nan		
KC03C01197	J03161366+4044556	177995773	1	0.000642250193377	SB1	1	3.27046108	49.05691625	03:16:13.6599	40:44:55.485	40.74874583	150.425	-14.2681	57.67913889	21.79297222	10.91	2456933.693	0.0081	10.618814	4.4e-05	4.7	34.4	20.0	nan				nan	nan			nan	nan	nan	nan		
KC03C04603	J03335788+3452116	90671647	1	0.0018902169552	SB1	1	3.56608056	53.49120833	03:33:57.89	34:52:11.7	34.86991667	156.91	-17.0651	59.61386111	15.20205556	9.5	2455917.98	0.05	17.2798	0.0006	7.19	8.4	12.0	nan				nan	nan			nan	nan	nan	nan		
KC04C000694	J06243870+2107326 	430049349	0	nan	SB1	1	6.41075056	96.16125833	06:24:38.702	21:07:32.67	21.12574167	191.141	3.87113	95.74994444	-2.19066667	10.21	2457416.78	0.015	2.4701125	8e-06	3.35	5.5	18.0	nan				nan	nan			nan	nan	nan	nan		
KC04C006437_NEI	J06240727+2808529	84212416	0	nan	SB1	1	6.40201944	96.03029167	06:24:07.27	28:08:52.9	28.14802778	184.822	6.99592	95.33383333	4.82033333	13.45	2457698.898	0.021	1.1523967	1.1e-05	3.25	55.0	nan	nan				nan	nan			nan	nan	nan	nan		
KC04C012726	J06081275+2325544 	45177865	1	0.000553105017661	SB1	1	6.13688056	92.05320833	06:08:12.77	23:25:54.4	23.43177778	187.304	1.61726	91.88383333	-0.00591667	9.29	2456626.553	0.0072	9.337803	3.4e-05	6.29	21.4	20.0	nan				nan	nan			nan	nan	nan	nan		
KC04C014553	J06230737+4142443 	197061967	1	0.000793534784556	SB1	1	6.38538056	95.78070833	06:23:07.37	41:42:44.3	41.71230556	172.368	12.7992	94.54388889	18.36413889	11.19	2455962.83	0.02	8.3691	0.0001	6.76	12.7	nan	nan				nan	nan			nan	nan	nan	nan		
KC04C014792	J05150451+4210149 	368118204	1	0.000932115066676	SB1	1	5.25125278	78.76879167	05:15:04.51	42:10:14.8	42.17077778	165.546	2.11352	81.21441667	19.07341667	10.42	2456654.062	0.0058	8.474906	3.3e-05	2.19	15.4	16.0	nan				nan	nan			nan	nan	nan	nan		
KC04C015398	J06243088+2619061 	84319031	1	0.00125824447671	SB1	1	6.40866944	96.13004167	06:24:31.21	26:19:03.8	26.31772222	186.502	6.23921	95.50013889	2.99538889	11.85	2455956.567	0.004	1.634464	6e-06	2.13	24.1	nan	nan				nan	nan			nan	nan	nan	nan		
KC04C018445	J06531790+4258139	191965113	1	0.000585986107505	SB1	1	6.88831111	103.32466667	06:53:17.92	42:58:13.9	42.97052778	173.396	18.427	100.33872222	20.00827778	11.33	2456593.588	0.01	16.98106	0.00011	5.52	61.6	20.0	nan				nan	nan			nan	nan	nan	nan		
