#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    SN    1937C            None                      None   13:05:52.400   +37:37:08.00 1937-08-16 00:00:00.000            SNIa     8.4                   None     0.001071                                   IC4182          -99
    #AT    1938C            None                      None   13:16:07.800   +25:09:51.00                   None    Unclassified    17.7                   None          -99                                    Anon.          -99
    AT    1945A            None                      None   13:29:57.900   +47:16:16.00 1945-04-08 00:00:00.000    Unclassified    14.0                   None          -99                                  NGC5195          -99
    AT    1950A            None                      None   13:00:53.100   +28:00:35.00 1950-03-20 00:00:00.000    Unclassified    17.7                   None          -99                                   IC4051          -99
    AT    1950C            None                      None   13:13:45.000   +36:35:01.00 1950-05-14 00:00:00.000    Unclassified    18.2                   None          -99                                  NGC5033          -99
    AT    1959B            None                      None   13:01:27.550   +27:52:22.80 1959-05-04 00:00:00.000    Unclassified    18.5                   None          -99                                  NGC4921          -99
    AT    1962A            None                      None   13:06:35.549   +27:52:29.71 1962-01-06 00:00:00.000    Unclassified    15.6                   None          -99                                    Anon.          -99
    AT    1962I            None                      None   13:02:52.370   +27:31:10.20 1962-05-28 00:00:00.000    Unclassified    17.2                   None          -99                                    Anon.          -99
    AT    1963C            None                      None   12:57:47.729   +27:53:05.71 1963-01-24 00:00:00.000    Unclassified    15.7                   None          -99                                    Anon.          -99
    AT    1963M            None                      None   12:57:57.701   +28:03:34.31 1963-06-19 00:00:00.000    Unclassified    15.9                   None          -99                                    Anon.          -99
    AT    1968B            None                      None   12:59:34.800   +27:57:34.00 1968-02-05 00:00:00.000    Unclassified    17.4                   None          -99                                  NGC4874          -99
    AT    1968H            None                      None   12:58:16.800   +27:08:16.00 1968-04-24 00:00:00.000    Unclassified    16.6                   None          -99                   2MASXJ12581769+2708117     0.039704
    AT    1971I            None                      None   13:15:49.600   +41:59:32.00 1971-05-24 00:00:00.000    Unclassified    11.5                   None          -99                                  NGC5055          -99
    #AT    1972T            None                      None   13:20:19.800   +31:30:53.00                   None    Unclassified    14.0                   None          -99                               MCG+5-32-1          -99
    AT    1973F            None                      None   13:03:52.001   +28:11:11.80 1973-03-31 00:00:00.000    Unclassified    16.2                   None          -99                                  NGC4944          -99
    AT    1976A            None                      None   13:11:03.700   +29:38:22.00 1976-02-28 00:00:00.000    Unclassified    16.5                   None          -99                                  NGC5004          -99
    AT    1977B            None                      None   14:00:17.700   +38:54:20.00 1977-03-18 00:00:00.000    Unclassified    14.0                   None          -99                                  NGC5406          -99
    AT    1980C            None                      None   13:45:24.500   +47:45:00.00 1980-02-22 00:00:00.000    Unclassified    17.5                   None          -99                                    Anon.          -99
    AT    1980E            None                      None   13:19:41.700   +34:14:09.00 1980-04-18 00:00:00.000    Unclassified    16.0                   None          -99                                    Anon.          -99
    SN    1981G            None                      None   12:59:36.700   +27:57:48.00 1981-06-02 00:00:00.000             SNI    15.0                   None          -99                                  NGC4874          -99
    AT    1981J            None                      None   14:03:17.500   +38:31:29.00 1981-03-11 00:00:00.000    Unclassified    15.0                   None          -99                                  UGC8975          -99
    AT    1985K            None                      None   12:59:16.200   +27:59:04.00 1985-05-15 00:00:00.000    Unclassified    17.7                   None          -99                                    Anon.          -99
    SN    1985L            None                      None   13:13:21.790   +36:36:33.01 1985-06-13 00:00:00.000            SNII    12.5                   None          -99                                  NGC5033          -99
    AT    1988G            None                      None   13:30:42.900   +31:55:00.01 1988-02-25 00:00:00.000    Unclassified    17.5                   None          -99                                    Anon.          -99
    SN    1988K            None                      None   13:05:16.400   +32:00:31.00 1988-04-12 00:00:00.000            SNIa    18.0                   None          -99                                  UGC8179          -99
    AT   1989ad            None                      None   13:25:38.959   +32:34:51.71 1989-03-09 00:00:00.000    Unclassified    20.4                   None          -99                                    Anon.          -99
    SN    1989E            None                      None   13:37:38.600   +28:48:09.00 1989-02-07 00:00:00.000            SNIb    18.6                   None          -99                              KUG1335+290          -99
    AT    1989H            None                      None   13:38:40.400   +32:16:30.00 1989-02-07 00:00:00.000    Unclassified    20.0                   None          -99                                    Anon.          -99
    AT    1989J            None                      None   13:40:58.000   +32:28:24.00 1989-03-11 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    SN    1989K            None                      None   13:57:00.900   +29:10:00.00 1989-05-04 00:00:00.000            SNII    17.5                   None          -99                                  NGC5375          -99
    AT    1989W            None                      None   13:44:58.600   +29:46:13.00 1989-12-30 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    AT    1990D            None                      None   13:43:25.800   +29:06:38.00 1990-01-23 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    AT    1990F            None                      None   13:39:02.770   +32:09:21.10 1990-02-24 00:00:00.000    Unclassified    18.7                   None          -99                                    Anon.          -99
    SN   1991ab            None                      None   13:59:21.679   +19:41:06.61 1991-05-08 00:00:00.000            SNIa    19.5                   None          -99                                    Anon.          -99
    AT   1991ac            None                      None   13:01:19.241   +29:10:59.99 1991-01-26 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    SN   1991ak            None                      None   13:56:48.610   +37:47:31.60 1991-07-15 00:00:00.000            SNIa    15.5                   None          -99                                  NGC5378          -99
    SN   1991bi            None                      None   13:23:43.980   +31:33:51.08 1991-12-13 00:00:00.000            SNIa    18.5                   None          -99                                  NGC5127          -99
    AT    1991Q            None                      None   13:02:07.630   +27:38:56.11 1991-01-26 00:00:00.000    Unclassified    18.0                   None          -99                                  NGC4926          -99
    AT    1991V            None                      None   14:47:48.100   +31:46:19.00 1991-04-17 00:00:00.000    Unclassified    18.5                   None          -99                                   IC4508          -99
    SN    1992H            None                      None   13:56:22.200   +47:14:27.00 1992-02-11 00:00:00.000            SNII    15.0                   None          -99                                  NGC5377          -99
    AT    1992S            None                      None   14:17:42.449   +31:02:59.89 1992-04-09 00:00:00.000    Unclassified    18.5                   None          -99                                    Anon.          -99
    #AT    1992X            None                      None   14:24:15.100   +35:08:27.00                   None    Unclassified     0.0                   None          -99                              MCG+6-32-24          -99
    AT   1993ak            None                      None   13:43:10.961   +30:20:12.52 1993-03-30 00:00:00.000    Unclassified    16.5                   None          -99                                  UGC8685          -99
    SN    1994I            None                      None   13:29:54.010   +47:11:31.70 1994-04-02 00:00:00.000            SNIc    13.5                   None          -99                                  NGC5194          -99
    SN    1994O            None                      None   13:41:10.980   +30:22:43.61 1994-05-06 00:00:00.000            SNIa    18.5                   None          -99                                   Mkn268          -99
    SN    1994Y            None                      None   13:55:36.910   +40:27:53.60 1994-08-19 00:00:00.000           SNIIn    15.0                   None          -99                                  NGC5371          -99
    SN    1995L            None                      None   13:27:18.341   +32:01:52.72 1995-03-26 00:00:00.000            SNIa    20.0                   None          -99                                  NGC5157          -99
