#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT   1993ak            None                      None   13:43:10.961   +30:20:12.52 1993-03-30 00:00:00.000    Unclassified    16.5                   None          -99                                  UGC8685          -99  None
    SN    1994O            None                      None   13:41:10.980   +30:22:43.61 1994-05-06 00:00:00.000            SNIa    18.5                   None          -99                                   Mkn268          -99  None
    SN    1994Y            None                      None   13:55:36.910   +40:27:53.60 1994-08-19 00:00:00.000           SNIIn    15.0                   None       0.0085                                  NGC5371          -99  None
    SN    1995L            None                      None   13:27:18.341   +32:01:52.72 1995-03-26 00:00:00.000            SNIa    20.0                   None          -99                                  NGC5157          -99  None
    SN   1996aa            None                      None   14:18:25.400   +36:29:39.00 1996-05-16 00:00:00.000            SNIa    17.0                   None          -99                                  NGC5557          -99  None
    SN   1996ab            None                      None   15:21:08.350   +27:55:36.80 1996-05-12 00:00:00.000            SNIa    18.5                   None          -99                                    Anon.          -99  None
    SN   1996ai            None                      None   13:10:58.130   +37:03:35.39 1996-06-16 00:00:00.000            SNIa    14.5                   None          -99                                  NGC5005          -99  None
    AT   1996ce            None                      None   13:16:15.470   +30:15:52.60 1996-12-16 00:00:00.000    Unclassified    18.0                   None          -99                            MCG+05-31-167          -99  None
    SN   1997cn            None                      None   14:09:57.761   +17:32:32.32 1997-05-14 00:00:00.000            SNIa    15.8                   None          -99                                  NGC5490          -99  None
    SN    1998D            None                      None   14:02:59.280   +34:44:54.31 1998-01-28 00:00:00.000            SNIa    15.6                   None          -99                                  NGC5440          -99  None
    SN    1998E            None                      None   13:29:02.000   +33:10:00.00 1998-01-29 00:00:00.000           SNIIn    16.5                   None          -99                                  NGC5161          -99  None
    SN   1999ax            None                      None   14:03:57.919   +15:51:09.22 1999-03-20 00:00:00.000            SNIa    18.5                   None          -99                                    Anon.          -99  None
    SN   1999cf            None                      None   13:33:29.710   +33:03:22.90 1999-05-22 00:00:00.000            SNIa    15.9                   None          -99                                  UGC8539          -99  None
    SN   1999ci            None                      None   14:52:12.701   +27:54:22.21 1999-05-15 00:00:00.000            SNIa    19.3                   None          -99                                    Anon.          -99  None
    AT   1999dm            None                      None   15:22:28.901   +27:42:58.00 1999-06-18 00:00:00.000    Unclassified    18.8                   None          -99                             MCG+05-36-22          -99  None
