#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1940D            None                      None   12:34:35.500   +63:31:49.00 1940-07-25 00:00:00.000    Unclassified    15.0                   None          -99                                  NGC4545          -99
    #AT    1946A            None                      None   11:56:08.300   +55:23:30.00                   None    Unclassified    18.0                   None          -99                                  NGC3977          -99
    AT    1950M            None                      None   10:33:16.900   +64:45:05.00 1950-03-19 00:00:00.000    Unclassified    14.5                   None          -99                                  NGC3266          -99
    AT    1955E            None                      None   12:22:59.300   +58:26:35.00 1955-05-10 00:00:00.000    Unclassified    16.3                   None          -99                                  NGC4335          -99
    AT    1963J            None                      None   11:50:38.299   +55:21:01.30 1963-05-18 00:00:00.000    Unclassified    13.7                   None          -99                                  NGC3913          -99
    AT    1969B            None                      None   11:11:21.800   +55:40:12.00 1969-02-06 00:00:00.000    Unclassified    16.0                   None          -99                                  NGC3556          -99
    AT    1972H            None                      None   10:17:00.400   +73:24:39.00 1972-08-08 00:00:00.000    Unclassified    14.9                   None          -99                                  NGC3147          -99
    AT    1974D            None                      None   11:50:54.600   +55:09:08.00 1974-03-20 00:00:00.000    Unclassified    15.5                   None          -99                                  NGC3916          -99
    AT    1975T            None                      None   11:36:42.400   +54:17:14.00 1975-12-28 00:00:00.000    Unclassified    15.7                   None          -99                                  NGC3756          -99
    AT    1978B            None                      None   11:19:42.000   +59:17:11.00 1978-07-03 00:00:00.000    Unclassified    14.0                   None          -99                                  UGC6335          -99
    AT    1978H            None                      None   11:39:23.669   +56:16:00.91 1978-11-07 00:00:00.000    Unclassified    16.5                   None          -99                                  NGC3780          -99
    AT    1979B            None                      None   11:50:43.400   +55:21:39.00 1979-02-28 00:00:00.000    Unclassified    13.5                   None          -99                                  NGC3913          -99
    AT    1980D            None                      None   11:34:58.100   +54:52:55.00 1980-03-17 00:00:00.000    Unclassified    15.5                   None          -99                                  NGC3733          -99
    #AT    1982Y            None                      None   10:07:56.700   +68:21:24.00                   None    Unclassified    17.0                   None          -99                                  UGC5449          -99
    AT    1983B            None                      None   11:10:26.200   +58:23:33.00 1983-02-04 00:00:00.000    Unclassified    17.0                   None          -99                                    Anon.          -99
    AT    1983W            None                      None   11:20:32.200   +57:46:60.00 1983-12-06 00:00:00.000    Unclassified    16.5                   None          -99                                  NGC3625          -99
    AT    1984B            None                      None   11:15:36.300   +55:55:33.00 1984-02-01 00:00:00.000    Unclassified    16.7                   None          -99                            MCG+09-19-019          -99
    SN    1985A            None                      None   09:13:42.401   +76:28:23.92 1985-01-25 00:00:00.000             SNI    14.5                   None          -99                                  NGC2748          -99
    AT    1985H            None                      None   10:46:32.900   +63:13:45.00 1985-04-03 00:00:00.000    Unclassified     0.0                   None          -99                                  NGC3359          -99
    #AT    1986D            None                      None   09:55:50.640   +69:40:45.80                   None    Unclassified     0.0                   None          -99                                  NGC3034          -99
    SN    1987M            None                      None   09:08:06.700   +78:05:25.00 1987-09-21 00:00:00.000            SNIb    15.0                   None          -99                                  NGC2715          -99
    SN    1988J            None                      None   11:44:06.400   +60:12:13.00 1988-03-14 00:00:00.000            SNIa    17.0                   None          -99                                    Anon.          -99
    SN    1988N            None                      None   13:13:09.881   +57:20:39.70 1988-05-09 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN    1989D            None                      None   09:47:50.700   +72:58:15.00 1989-02-03 00:00:00.000            SNIa    16.0                   None          -99                                  NGC2963          -99
    SN    1991F            None                      None   10:56:02.200   +57:06:48.00 1991-02-10 00:00:00.000             SNI    18.0                   None          -99                                  NGC3458          -99
    SN    1991O            None                      None   14:24:40.001   +65:45:36.68 1991-03-18 00:00:00.000            SNIa    18.0                   None          -99                                    Anon.          -99
    SN    1992B            None                      None   11:16:09.950   +55:29:30.59 1992-01-14 00:00:00.000            SNIa    16.5                   None          -99                                    Anon.          -99
    SN   1992bt            None                      None   11:39:19.759   +56:16:15.89 1992-12-19 00:00:00.000            SNII    16.0                   None          -99                                  NGC3780          -99
    AT   1992bu            None                      None   11:28:31.500   +58:33:38.99 1992-03-09 00:00:00.000    Unclassified    16.6                   None          -99                                  NGC3690          -99
    AT    1992F            None                      None   11:25:23.899   +56:36:02.99 1992-02-02 00:00:00.000    Unclassified    19.0                   None          -99                                    Anon.          -99
    SN    1993G            None                      None   11:28:33.439   +58:33:31.21 1993-03-05 00:00:00.000            SNII    16.6                   None          -99                                  NGC3690          -99
    SN    1993J            None                      None   09:55:25.001   +69:01:13.01 1993-03-28 00:00:00.000           SNIIb    10.2                   None          -99                                  NGC3031          -99
    SN    1994A            None                      None   13:07:41.100   +62:13:00.00 1994-01-11 00:00:00.000            SNII    18.0                   None          -99                                  UGC8214          -99
    SN    1994E            None                      None   11:32:06.960   +55:21:34.70 1994-03-05 00:00:00.000            SNIa    19.0                   None          -99                                    Anon.          -99
    SN    1994W            None                      None   12:02:10.930   +62:08:32.78 1994-07-29 00:00:00.000           SNIIP    13.5                   None          -99                                  NGC4041          -99
    SN    1995J            None                      None   12:32:38.340   +63:53:09.20 1995-04-04 00:00:00.000            SNII    16.5                   None          -99                                  NGC4512          -99
